,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 2
7,Resort Expert,Level 1
8,Restaurant Expert ,Level 2
9,Attraction Expert,Level 1
10,Senior Reviewer,5 Reviews
11,Junior Photographer,5 Photos
12,Helpful Reviewer,5 Votes
13,Helpful Reviewer,10 Votes
14,Readership,500 Readers
15,Readership,"1,000 Readers"
16,Contributor,10 Reviews
17,Photographer,10 Photos
18,Explorer,4 Reviews
19,2015 Travelers' Choice Hotel Reviewer,1 Review
20,Senior Photographer,20 Photos
21,Passport,14 Cities
22,Readership,"5,000 Readers"
