,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Helpful Reviewer,1 Vote
4,Readership,100 Readers
5,Hotel Expert ,Level 15
6,Luxury Hotel Expert,Level 6
7,Boutique Hotel Expert,Level 4
8,B&B and Inns Expert,Level 2
9,Resort Expert,Level 1
10,Restaurant Expert ,Level 3
11,Attraction Expert,Level 1
12,Senior Reviewer,5 Reviews
13,Helpful Reviewer,5 Votes
14,Helpful Reviewer,10 Votes
15,Readership,500 Readers
16,Readership,"1,000 Readers"
17,Contributor,10 Reviews
18,Explorer,1 Review
19,2015 Travelers' Choice Hotel Reviewer,1 Review
20,Senior Contributor,20 Reviews
21,Passport,51 Cities
22,Helpful Reviewer,25 Votes
23,Readership,"5,000 Readers"
24,Top Contributor,50 Reviews
25,Readership,"10,000 Readers"
26,Readership,"15,000 Readers"
27,Readership,"20,000 Readers"
28,Readership,"25,000 Readers"
29,Readership,"30,000 Readers"
30,Readership,"35,000 Readers"
31,Readership,"40,000 Readers"
