,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 2
7,Restaurant Expert ,Level 3
8,Attraction Expert,Level 2
9,Senior Reviewer,5 Reviews
10,Helpful Reviewer,5 Votes
11,Readership,500 Readers
12,Readership,"1,000 Readers"
13,Contributor,10 Reviews
14,Explorer,1 Review
15,Senior Contributor,20 Reviews
16,Passport,8 Cities
17,Readership,"5,000 Readers"
18,Readership,"10,000 Readers"
19,Readership,"15,000 Readers"
