,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 5
5,Luxury Hotel Expert,Level 1
6,Boutique Hotel Expert,Level 1
7,B&B and Inns Expert,Level 1
8,Resort Expert,Level 3
9,Restaurant Expert ,Level 1
10,Attraction Expert,Level 3
11,Senior Reviewer,5 Reviews
12,Helpful Reviewer,5 Votes
13,Helpful Reviewer,10 Votes
14,Readership,500 Readers
15,Readership,"1,000 Readers"
16,Contributor,10 Reviews
17,Senior Contributor,20 Reviews
18,Passport,15 Cities
19,Helpful Reviewer,25 Votes
20,Readership,"5,000 Readers"
21,Readership,"10,000 Readers"
22,Readership,"15,000 Readers"
23,Readership,"20,000 Readers"
24,Readership,"25,000 Readers"
25,Readership,"30,000 Readers"
26,Readership,"35,000 Readers"
27,Readership,"40,000 Readers"
