,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Helpful Reviewer,1 Vote
4,Readership,100 Readers
5,Hotel Expert ,Level 2
6,B&B and Inns Expert,Level 1
7,Restaurant Expert ,Level 5
8,Senior Reviewer,5 Reviews
9,Helpful Reviewer,5 Votes
10,Helpful Reviewer,10 Votes
11,Readership,500 Readers
12,Readership,"1,000 Readers"
13,Contributor,10 Reviews
14,Explorer,1 Review
15,2016 Travelers' Choice Hotel Reviewer,1 Review
16,Senior Contributor,20 Reviews
17,Passport,10 Cities
18,Readership,"5,000 Readers"
19,Readership,"10,000 Readers"
20,Readership,"15,000 Readers"
