,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 2
7,Luxury Hotel Expert,Level 1
8,Boutique Hotel Expert,Level 1
9,Restaurant Expert ,Level 7
10,Attraction Expert,Level 1
11,Senior Reviewer,5 Reviews
12,Helpful Reviewer,5 Votes
13,Readership,500 Readers
14,Readership,"1,000 Readers"
15,Contributor,10 Reviews
16,Explorer,2 Reviews
17,Senior Contributor,20 Reviews
18,Passport,21 Cities
19,Readership,"5,000 Readers"
20,Readership,"10,000 Readers"
21,Readership,"15,000 Readers"
22,Readership,"20,000 Readers"
23,Readership,"25,000 Readers"
24,Readership,"30,000 Readers"
25,Readership,"35,000 Readers"
26,Readership,"40,000 Readers"
