,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 8
5,Luxury Hotel Expert,Level 1
6,B&B and Inns Expert,Level 1
7,Restaurant Expert ,Level 15
8,Attraction Expert,Level 2
9,Senior Reviewer,5 Reviews
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Explorer,33 Reviews
16,2015 Travelers' Choice Hotel Reviewer,1 Review
17,Senior Contributor,20 Reviews
18,Passport,37 Cities
19,Readership,"5,000 Readers"
20,Top Contributor,50 Reviews
21,Readership,"10,000 Readers"
22,Readership,"15,000 Readers"
23,Readership,"20,000 Readers"
24,Readership,"25,000 Readers"
25,Readership,"30,000 Readers"
26,Readership,"35,000 Readers"
27,Readership,"40,000 Readers"
