,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 20
7,Luxury Hotel Expert,Level 3
8,Boutique Hotel Expert,Level 4
9,B&B and Inns Expert,Level 1
10,Resort Expert,Level 4
11,Restaurant Expert ,Level 30
12,Attraction Expert,Level 29
13,Senior Reviewer,5 Reviews
14,Junior Photographer,5 Photos
15,Helpful Reviewer,5 Votes
16,Helpful Reviewer,10 Votes
17,Readership,500 Readers
18,Readership,"1,000 Readers"
19,Contributor,10 Reviews
20,Photographer,10 Photos
21,Explorer,5 Reviews
22,2015 Travelers' Choice Hotel Reviewer,1 Review
23,2016 Travelers' Choice Hotel Reviewer,1 Review
24,Senior Contributor,20 Reviews
25,Passport,97 Cities
26,Helpful Reviewer,25 Votes
27,Readership,"5,000 Readers"
28,Top Contributor,50 Reviews
29,Helpful Reviewer,50 Votes
30,Readership,"10,000 Readers"
31,Helpful Reviewer,100 Votes
32,Readership,"15,000 Readers"
33,Readership,"20,000 Readers"
34,Readership,"25,000 Readers"
35,Readership,"30,000 Readers"
36,Readership,"35,000 Readers"
37,Readership,"40,000 Readers"
38,Readership,"45,000 Readers"
39,Readership,"50,000 Readers"
40,Readership,"55,000 Readers"
41,Readership,"60,000 Readers"
42,Readership,"65,000 Readers"
43,Readership,"70,000 Readers"
44,Readership,"75,000 Readers"
45,Readership,"80,000 Readers"
46,Readership,"85,000 Readers"
47,Readership,"90,000 Readers"
48,Readership,"95,000 Readers"
49,Readership,"100,000 Readers"
50,Readership,"105,000 Readers"
51,Readership,"110,000 Readers"
52,Readership,"115,000 Readers"
53,Readership,"120,000 Readers"
54,Readership,"125,000 Readers"
55,Readership,"130,000 Readers"
56,Readership,"135,000 Readers"
57,Readership,"140,000 Readers"
58,Readership,"145,000 Readers"
