,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 7
7,B&B and Inns Expert,Level 1
8,Resort Expert,Level 1
9,Restaurant Expert ,Level 6
10,Attraction Expert,Level 6
11,Senior Reviewer,5 Reviews
12,Junior Photographer,5 Photos
13,Helpful Reviewer,5 Votes
14,Helpful Reviewer,10 Votes
15,Readership,500 Readers
16,Readership,"1,000 Readers"
17,Contributor,10 Reviews
18,Photographer,10 Photos
19,Explorer,4 Reviews
20,Senior Contributor,20 Reviews
21,Passport,36 Cities
22,Helpful Reviewer,25 Votes
23,Readership,"5,000 Readers"
24,Top Contributor,50 Reviews
25,Helpful Reviewer,50 Votes
26,Readership,"10,000 Readers"
27,Readership,"15,000 Readers"
28,Readership,"20,000 Readers"
29,Readership,"25,000 Readers"
30,Readership,"30,000 Readers"
31,Readership,"35,000 Readers"
32,Readership,"40,000 Readers"
33,Readership,"45,000 Readers"
34,Readership,"50,000 Readers"
