,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Helpful Reviewer,1 Vote
4,Readership,100 Readers
5,Hotel Expert ,Level 2
6,Luxury Hotel Expert,Level 1
7,Restaurant Expert ,Level 6
8,Attraction Expert,Level 6
9,Senior Reviewer,5 Reviews
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Explorer,2 Reviews
16,Senior Contributor,20 Reviews
17,Passport,28 Cities
18,Helpful Reviewer,25 Votes
19,Readership,"5,000 Readers"
20,Readership,"10,000 Readers"
21,Readership,"15,000 Readers"
22,Readership,"20,000 Readers"
23,Readership,"25,000 Readers"
24,Readership,"30,000 Readers"
25,Readership,"35,000 Readers"
26,Readership,"40,000 Readers"
