,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 1
7,Restaurant Expert ,Level 2
8,Attraction Expert,Level 3
9,Senior Reviewer,5 Reviews
10,Junior Photographer,5 Photos
11,Helpful Reviewer,5 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Photographer,10 Photos
16,Explorer,2 Reviews
17,Senior Photographer,20 Photos
18,Passport,12 Cities
19,Readership,"5,000 Readers"
20,Readership,"10,000 Readers"
21,Readership,"15,000 Readers"
22,Readership,"20,000 Readers"
23,Readership,"25,000 Readers"
