,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 7
7,Luxury Hotel Expert,Level 1
8,Boutique Hotel Expert,Level 1
9,Resort Expert,Level 1
10,Restaurant Expert ,Level 4
11,Attraction Expert,Level 3
12,Senior Reviewer,5 Reviews
13,Junior Photographer,5 Photos
14,Helpful Reviewer,5 Votes
15,Helpful Reviewer,10 Votes
16,Readership,500 Readers
17,Readership,"1,000 Readers"
18,Contributor,10 Reviews
19,Photographer,10 Photos
20,Explorer,7 Reviews
21,2015 Travelers' Choice Hotel Reviewer,2 Reviews
22,Senior Contributor,20 Reviews
23,Senior Photographer,20 Photos
24,Passport,31 Cities
25,Helpful Reviewer,25 Votes
26,Readership,"5,000 Readers"
27,Readership,"10,000 Readers"
28,Readership,"15,000 Readers"
29,Readership,"20,000 Readers"
30,Readership,"25,000 Readers"
31,Readership,"30,000 Readers"
32,Readership,"35,000 Readers"
33,Readership,"40,000 Readers"
34,Readership,"45,000 Readers"
