,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 6
7,Luxury Hotel Expert,Level 2
8,Restaurant Expert ,Level 10
9,Attraction Expert,Level 2
10,Senior Reviewer,5 Reviews
11,Junior Photographer,5 Photos
12,Helpful Reviewer,5 Votes
13,Helpful Reviewer,10 Votes
14,Readership,500 Readers
15,Readership,"1,000 Readers"
16,Contributor,10 Reviews
17,Photographer,10 Photos
18,Explorer,1 Review
19,Senior Contributor,20 Reviews
20,Passport,14 Cities
21,Helpful Reviewer,25 Votes
22,Readership,"5,000 Readers"
23,Top Contributor,50 Reviews
24,Helpful Reviewer,50 Votes
25,Readership,"10,000 Readers"
26,Readership,"15,000 Readers"
27,Readership,"20,000 Readers"
28,Readership,"25,000 Readers"
29,Readership,"30,000 Readers"
30,Readership,"35,000 Readers"
