,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 3
7,Resort Expert,Level 1
8,Restaurant Expert ,Level 2
9,Senior Reviewer,5 Reviews
10,Junior Photographer,5 Photos
11,Helpful Reviewer,5 Votes
12,Helpful Reviewer,10 Votes
13,Readership,500 Readers
14,Readership,"1,000 Readers"
15,Contributor,10 Reviews
16,Explorer,2 Reviews
17,Passport,13 Cities
18,Helpful Reviewer,25 Votes
19,Readership,"5,000 Readers"
