,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Restaurant Expert ,Level 2
5,Attraction Expert,Level 4
6,Senior Reviewer,5 Reviews
7,Helpful Reviewer,5 Votes
8,Helpful Reviewer,10 Votes
9,Readership,500 Readers
10,Readership,"1,000 Readers"
11,Contributor,10 Reviews
12,Explorer,1 Review
13,2016 Travelers' Choice Hotel Reviewer,1 Review
14,Senior Contributor,20 Reviews
15,Passport,14 Cities
16,Helpful Reviewer,25 Votes
17,Readership,"5,000 Readers"
18,Readership,"10,000 Readers"
