,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 5
5,Luxury Hotel Expert,Level 2
6,Resort Expert,Level 3
7,Restaurant Expert ,Level 4
8,Attraction Expert,Level 1
9,Senior Reviewer,5 Reviews
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Explorer,1 Review
16,Senior Contributor,20 Reviews
17,Passport,15 Cities
18,Helpful Reviewer,25 Votes
19,Readership,"5,000 Readers"
20,Helpful Reviewer,50 Votes
21,Readership,"10,000 Readers"
22,Readership,"15,000 Readers"
23,Readership,"20,000 Readers"
