,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 2
7,Luxury Hotel Expert,Level 1
8,Boutique Hotel Expert,Level 1
9,Restaurant Expert ,Level 3
10,Senior Reviewer,5 Reviews
11,Junior Photographer,5 Photos
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Photographer,10 Photos
16,Senior Contributor,20 Reviews
17,Senior Photographer,20 Photos
18,Passport,7 Cities
19,Readership,"5,000 Readers"
