,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 1
7,Restaurant Expert ,Level 1
8,Attraction Expert,Level 2
9,Senior Reviewer,5 Reviews
10,Junior Photographer,5 Photos
11,Helpful Reviewer,5 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Photographer,10 Photos
16,Explorer,1 Review
17,Passport,11 Cities
18,Readership,"5,000 Readers"
