,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 4
7,Boutique Hotel Expert,Level 1
8,B&B and Inns Expert,Level 1
9,Restaurant Expert ,Level 20
10,Attraction Expert,Level 2
11,Senior Reviewer,5 Reviews
12,Junior Photographer,5 Photos
13,Helpful Reviewer,5 Votes
14,Helpful Reviewer,10 Votes
15,Readership,500 Readers
16,Readership,"1,000 Readers"
17,Contributor,10 Reviews
18,Photographer,10 Photos
19,Explorer,5 Reviews
20,Senior Contributor,20 Reviews
21,Senior Photographer,20 Photos
22,Passport,37 Cities
23,Helpful Reviewer,25 Votes
24,Readership,"5,000 Readers"
25,Top Contributor,50 Reviews
26,Readership,"10,000 Readers"
27,Readership,"15,000 Readers"
28,Readership,"20,000 Readers"
29,Readership,"25,000 Readers"
30,Readership,"30,000 Readers"
31,Readership,"35,000 Readers"
32,Readership,"40,000 Readers"
33,Readership,"45,000 Readers"
34,Readership,"50,000 Readers"
35,Readership,"55,000 Readers"
36,Readership,"60,000 Readers"
37,Readership,"65,000 Readers"
38,Readership,"70,000 Readers"
39,Readership,"75,000 Readers"
