,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Helpful Reviewer,1 Vote
4,Readership,100 Readers
5,Hotel Expert ,Level 4
6,Luxury Hotel Expert,Level 1
7,Resort Expert,Level 1
8,Restaurant Expert ,Level 5
9,Attraction Expert,Level 2
10,Senior Reviewer,5 Reviews
11,Helpful Reviewer,5 Votes
12,Helpful Reviewer,10 Votes
13,Readership,500 Readers
14,Readership,"1,000 Readers"
15,Contributor,10 Reviews
16,2015 Travelers' Choice Hotel Reviewer,1 Review
17,Senior Contributor,20 Reviews
18,Passport,24 Cities
19,Readership,"5,000 Readers"
20,Readership,"10,000 Readers"
21,Readership,"15,000 Readers"
22,Readership,"20,000 Readers"
23,Readership,"25,000 Readers"
