,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 5
7,Luxury Hotel Expert,Level 1
8,Resort Expert,Level 1
9,Restaurant Expert ,Level 1
10,Attraction Expert,Level 2
11,Senior Reviewer,5 Reviews
12,Junior Photographer,5 Photos
13,Helpful Reviewer,5 Votes
14,Helpful Reviewer,10 Votes
15,Readership,500 Readers
16,Readership,"1,000 Readers"
17,Contributor,10 Reviews
18,Photographer,10 Photos
19,Explorer,1 Review
20,Senior Contributor,20 Reviews
21,Senior Photographer,20 Photos
22,Passport,18 Cities
23,Readership,"5,000 Readers"
24,Expert Photographer,50 Photos
25,Readership,"10,000 Readers"
26,Readership,"15,000 Readers"
27,Readership,"20,000 Readers"
