,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 7
5,Boutique Hotel Expert,Level 1
6,Resort Expert,Level 1
7,Restaurant Expert ,Level 19
8,Attraction Expert,Level 2
9,Senior Reviewer,5 Reviews
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Explorer,13 Reviews
16,2016 Travelers' Choice Hotel Reviewer,1 Review
17,Senior Contributor,20 Reviews
18,Passport,40 Cities
19,Helpful Reviewer,25 Votes
20,Readership,"5,000 Readers"
21,Top Contributor,50 Reviews
22,Helpful Reviewer,50 Votes
23,Readership,"10,000 Readers"
24,Readership,"15,000 Readers"
25,Readership,"20,000 Readers"
26,Readership,"25,000 Readers"
27,Readership,"30,000 Readers"
28,Readership,"35,000 Readers"
29,Readership,"40,000 Readers"
30,Readership,"45,000 Readers"
31,Readership,"50,000 Readers"
32,Readership,"55,000 Readers"
33,Readership,"60,000 Readers"
34,Readership,"65,000 Readers"
35,Readership,"70,000 Readers"
36,Readership,"75,000 Readers"
