,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Restaurant Expert ,Level 18
7,Attraction Expert,Level 3
8,Senior Reviewer,5 Reviews
9,Junior Photographer,5 Photos
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Photographer,10 Photos
16,Explorer,2 Reviews
17,Senior Contributor,20 Reviews
18,Passport,34 Cities
19,Readership,"5,000 Readers"
20,Top Contributor,50 Reviews
21,Readership,"10,000 Readers"
22,Readership,"15,000 Readers"
23,Readership,"20,000 Readers"
24,Readership,"25,000 Readers"
25,Readership,"30,000 Readers"
26,Readership,"35,000 Readers"
27,Readership,"40,000 Readers"
28,Readership,"45,000 Readers"
29,Readership,"50,000 Readers"
30,Readership,"55,000 Readers"
31,Readership,"60,000 Readers"
