,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Restaurant Expert ,Level 1
7,Attraction Expert,Level 3
8,Senior Reviewer,5 Reviews
9,Junior Photographer,5 Photos
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Photographer,10 Photos
16,Explorer,1 Review
17,Senior Photographer,20 Photos
18,Passport,10 Cities
19,Readership,"5,000 Readers"
20,Expert Photographer,50 Photos
21,Top Photographer,100 Photos
22,Readership,"10,000 Readers"
