,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 6
5,Boutique Hotel Expert,Level 1
6,B&B and Inns Expert,Level 2
7,Resort Expert,Level 1
8,Restaurant Expert ,Level 3
9,Attraction Expert,Level 6
10,Senior Reviewer,5 Reviews
11,Helpful Reviewer,5 Votes
12,Helpful Reviewer,10 Votes
13,Readership,500 Readers
14,Readership,"1,000 Readers"
15,Contributor,10 Reviews
16,Explorer,1 Review
17,2015 Travelers' Choice Hotel Reviewer,1 Review
18,Senior Contributor,20 Reviews
19,Passport,35 Cities
20,Readership,"5,000 Readers"
21,Readership,"10,000 Readers"
22,Readership,"15,000 Readers"
23,Readership,"20,000 Readers"
24,Readership,"25,000 Readers"
25,Readership,"30,000 Readers"
