,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 10
7,Luxury Hotel Expert,Level 4
8,Boutique Hotel Expert,Level 1
9,B&B and Inns Expert,Level 1
10,Resort Expert,Level 5
11,Restaurant Expert ,Level 7
12,Attraction Expert,Level 1
13,Senior Reviewer,5 Reviews
14,Junior Photographer,5 Photos
15,Helpful Reviewer,5 Votes
16,Helpful Reviewer,10 Votes
17,Readership,500 Readers
18,Readership,"1,000 Readers"
19,Contributor,10 Reviews
20,Photographer,10 Photos
21,Explorer,4 Reviews
22,2015 Travelers' Choice Hotel Reviewer,1 Review
23,Senior Contributor,20 Reviews
24,Passport,49 Cities
25,Helpful Reviewer,25 Votes
26,Readership,"5,000 Readers"
27,Top Contributor,50 Reviews
28,Helpful Reviewer,50 Votes
29,Readership,"10,000 Readers"
30,Readership,"15,000 Readers"
31,Readership,"20,000 Readers"
32,Readership,"25,000 Readers"
33,Readership,"30,000 Readers"
34,Readership,"35,000 Readers"
35,Readership,"40,000 Readers"
36,Readership,"45,000 Readers"
37,Readership,"50,000 Readers"
38,Readership,"55,000 Readers"
39,Readership,"60,000 Readers"
40,Readership,"65,000 Readers"
