,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 1
5,Restaurant Expert ,Level 3
6,Attraction Expert,Level 1
7,Senior Reviewer,5 Reviews
8,Helpful Reviewer,5 Votes
9,Helpful Reviewer,10 Votes
10,Readership,500 Readers
11,Readership,"1,000 Readers"
12,Contributor,10 Reviews
13,Explorer,2 Reviews
14,2015 Travelers' Choice Hotel Reviewer,1 Review
15,Senior Contributor,20 Reviews
16,Passport,12 Cities
17,Readership,"5,000 Readers"
18,Readership,"10,000 Readers"
