,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 7
7,Resort Expert,Level 1
8,Restaurant Expert ,Level 12
9,Attraction Expert,Level 2
10,Senior Reviewer,5 Reviews
11,Helpful Reviewer,5 Votes
12,Helpful Reviewer,10 Votes
13,Readership,500 Readers
14,Readership,"1,000 Readers"
15,Contributor,10 Reviews
16,Explorer,1 Review
17,Senior Contributor,20 Reviews
18,Passport,34 Cities
19,Helpful Reviewer,25 Votes
20,Readership,"5,000 Readers"
21,Top Contributor,50 Reviews
22,Helpful Reviewer,50 Votes
23,Readership,"10,000 Readers"
24,Readership,"15,000 Readers"
25,Readership,"20,000 Readers"
26,Readership,"25,000 Readers"
27,Readership,"30,000 Readers"
