,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 3
7,Luxury Hotel Expert,Level 1
8,Resort Expert,Level 2
9,Restaurant Expert ,Level 6
10,Attraction Expert,Level 3
11,Senior Reviewer,5 Reviews
12,Helpful Reviewer,5 Votes
13,Helpful Reviewer,10 Votes
14,Readership,500 Readers
15,Readership,"1,000 Readers"
16,Contributor,10 Reviews
17,2015 Travelers' Choice Hotel Reviewer,1 Review
18,Senior Contributor,20 Reviews
19,Passport,19 Cities
20,Helpful Reviewer,25 Votes
21,Readership,"5,000 Readers"
22,Readership,"10,000 Readers"
23,Readership,"15,000 Readers"
24,Readership,"20,000 Readers"
25,Readership,"25,000 Readers"
26,Readership,"30,000 Readers"
27,Readership,"35,000 Readers"
