,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 14
5,B&B and Inns Expert,Level 2
6,Resort Expert,Level 4
7,Restaurant Expert ,Level 42
8,Attraction Expert,Level 10
9,Senior Reviewer,5 Reviews
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Explorer,8 Reviews
16,2015 Travelers' Choice Hotel Reviewer,1 Review
17,Senior Contributor,20 Reviews
18,Passport,55 Cities
19,Helpful Reviewer,25 Votes
20,Readership,"5,000 Readers"
21,Top Contributor,50 Reviews
22,Helpful Reviewer,50 Votes
23,Readership,"10,000 Readers"
24,Helpful Reviewer,100 Votes
25,Readership,"15,000 Readers"
26,Readership,"20,000 Readers"
27,Readership,"25,000 Readers"
28,Readership,"30,000 Readers"
29,Readership,"35,000 Readers"
30,Readership,"40,000 Readers"
31,Readership,"45,000 Readers"
32,Readership,"50,000 Readers"
33,Readership,"55,000 Readers"
34,Readership,"60,000 Readers"
35,Readership,"65,000 Readers"
36,Readership,"70,000 Readers"
37,Readership,"75,000 Readers"
38,Readership,"80,000 Readers"
39,Readership,"85,000 Readers"
40,Readership,"90,000 Readers"
41,Readership,"95,000 Readers"
42,Readership,"100,000 Readers"
43,Readership,"105,000 Readers"
44,Readership,"110,000 Readers"
45,Readership,"115,000 Readers"
46,Readership,"120,000 Readers"
47,Readership,"125,000 Readers"
48,Readership,"130,000 Readers"
49,Readership,"135,000 Readers"
50,Readership,"140,000 Readers"
51,Readership,"145,000 Readers"
52,Readership,"150,000 Readers"
53,Readership,"155,000 Readers"
54,Readership,"160,000 Readers"
