,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 15
7,Luxury Hotel Expert,Level 3
8,B&B and Inns Expert,Level 3
9,Resort Expert,Level 4
10,Restaurant Expert ,Level 77
11,Attraction Expert,Level 43
12,Senior Reviewer,5 Reviews
13,Junior Photographer,5 Photos
14,Helpful Reviewer,5 Votes
15,Helpful Reviewer,10 Votes
16,Readership,500 Readers
17,Readership,"1,000 Readers"
18,Contributor,10 Reviews
19,Photographer,10 Photos
20,Explorer,26 Reviews
21,Senior Contributor,20 Reviews
22,Senior Photographer,20 Photos
23,Passport,146 Cities
24,Helpful Reviewer,25 Votes
25,Readership,"5,000 Readers"
26,Top Contributor,50 Reviews
27,Expert Photographer,50 Photos
28,Top Photographer,100 Photos
29,Helpful Reviewer,50 Votes
30,Readership,"10,000 Readers"
31,Helpful Reviewer,100 Votes
32,Helpful Reviewer,200 Votes
33,Readership,"15,000 Readers"
34,Readership,"20,000 Readers"
35,Readership,"25,000 Readers"
36,Readership,"30,000 Readers"
37,Readership,"35,000 Readers"
38,Readership,"40,000 Readers"
39,Readership,"45,000 Readers"
40,Readership,"50,000 Readers"
41,Readership,"55,000 Readers"
42,Readership,"60,000 Readers"
43,Readership,"65,000 Readers"
44,Readership,"70,000 Readers"
45,Readership,"75,000 Readers"
46,Readership,"80,000 Readers"
47,Readership,"85,000 Readers"
48,Readership,"90,000 Readers"
49,Readership,"95,000 Readers"
50,Readership,"100,000 Readers"
51,Readership,"105,000 Readers"
52,Readership,"110,000 Readers"
53,Readership,"115,000 Readers"
54,Readership,"120,000 Readers"
55,Readership,"125,000 Readers"
56,Readership,"130,000 Readers"
57,Readership,"135,000 Readers"
58,Readership,"140,000 Readers"
59,Readership,"145,000 Readers"
60,Readership,"150,000 Readers"
61,Readership,"155,000 Readers"
62,Readership,"160,000 Readers"
63,Readership,"165,000 Readers"
64,Readership,"170,000 Readers"
65,Readership,"175,000 Readers"
66,Readership,"180,000 Readers"
67,Readership,"185,000 Readers"
68,Readership,"190,000 Readers"
69,Readership,"195,000 Readers"
70,Readership,"200,000 Readers"
71,Readership,"205,000 Readers"
72,Readership,"210,000 Readers"
73,Readership,"215,000 Readers"
74,Readership,"220,000 Readers"
75,Readership,"225,000 Readers"
76,Readership,"230,000 Readers"
77,Readership,"235,000 Readers"
78,Readership,"240,000 Readers"
79,Readership,"245,000 Readers"
80,Readership,"250,000 Readers"
81,Readership,"255,000 Readers"
82,Readership,"260,000 Readers"
83,Readership,"265,000 Readers"
84,Readership,"270,000 Readers"
85,Readership,"275,000 Readers"
86,Readership,"280,000 Readers"
87,Readership,"285,000 Readers"
88,Readership,"290,000 Readers"
89,Readership,"295,000 Readers"
