,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 15
7,B&B and Inns Expert,Level 2
8,Resort Expert,Level 1
9,Restaurant Expert ,Level 13
10,Attraction Expert,Level 8
11,Senior Reviewer,5 Reviews
12,Junior Photographer,5 Photos
13,Helpful Reviewer,5 Votes
14,Helpful Reviewer,10 Votes
15,Readership,500 Readers
16,Readership,"1,000 Readers"
17,Contributor,10 Reviews
18,Photographer,10 Photos
19,Explorer,27 Reviews
20,2015 Travelers' Choice Hotel Reviewer,1 Review
21,Senior Contributor,20 Reviews
22,Senior Photographer,20 Photos
23,Passport,68 Cities
24,Helpful Reviewer,25 Votes
25,Readership,"5,000 Readers"
26,Top Contributor,50 Reviews
27,Helpful Reviewer,50 Votes
28,Readership,"10,000 Readers"
29,Readership,"15,000 Readers"
30,Readership,"20,000 Readers"
31,Readership,"25,000 Readers"
32,Readership,"30,000 Readers"
33,Readership,"35,000 Readers"
34,Readership,"40,000 Readers"
35,Readership,"45,000 Readers"
36,Readership,"50,000 Readers"
37,Readership,"55,000 Readers"
38,Readership,"60,000 Readers"
39,Readership,"65,000 Readers"
40,Readership,"70,000 Readers"
41,Readership,"75,000 Readers"
42,Readership,"80,000 Readers"
43,Readership,"85,000 Readers"
44,Readership,"90,000 Readers"
45,Readership,"95,000 Readers"
46,Readership,"100,000 Readers"
47,Readership,"105,000 Readers"
48,Readership,"110,000 Readers"
