,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 2
5,Boutique Hotel Expert,Level 1
6,Restaurant Expert ,Level 5
7,Attraction Expert,Level 1
8,Senior Reviewer,5 Reviews
9,Helpful Reviewer,5 Votes
10,Helpful Reviewer,10 Votes
11,Readership,500 Readers
12,Readership,"1,000 Readers"
13,Contributor,10 Reviews
14,Senior Contributor,20 Reviews
15,Passport,15 Cities
16,Readership,"5,000 Readers"
17,Readership,"10,000 Readers"
18,Readership,"15,000 Readers"
19,Readership,"20,000 Readers"
20,Readership,"25,000 Readers"
