,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 5
5,B&B and Inns Expert,Level 1
6,Resort Expert,Level 1
7,Restaurant Expert ,Level 40
8,Attraction Expert,Level 7
9,Senior Reviewer,5 Reviews
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Explorer,3 Reviews
16,Senior Contributor,20 Reviews
17,Passport,33 Cities
18,Helpful Reviewer,25 Votes
19,Readership,"5,000 Readers"
20,Top Contributor,50 Reviews
21,Helpful Reviewer,50 Votes
22,Readership,"10,000 Readers"
23,Readership,"15,000 Readers"
24,Readership,"20,000 Readers"
25,Readership,"25,000 Readers"
26,Readership,"30,000 Readers"
27,Readership,"35,000 Readers"
28,Readership,"40,000 Readers"
29,Readership,"45,000 Readers"
30,Readership,"50,000 Readers"
31,Readership,"55,000 Readers"
32,Readership,"60,000 Readers"
33,Readership,"65,000 Readers"
34,Readership,"70,000 Readers"
35,Readership,"75,000 Readers"
36,Readership,"80,000 Readers"
37,Readership,"85,000 Readers"
38,Readership,"90,000 Readers"
39,Readership,"95,000 Readers"
40,Readership,"100,000 Readers"
