,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 4
7,Luxury Hotel Expert,Level 2
8,Boutique Hotel Expert,Level 1
9,B&B and Inns Expert,Level 1
10,Resort Expert,Level 1
11,Restaurant Expert ,Level 5
12,Attraction Expert,Level 2
13,Senior Reviewer,5 Reviews
14,Junior Photographer,5 Photos
15,Helpful Reviewer,5 Votes
16,Helpful Reviewer,10 Votes
17,Readership,500 Readers
18,Readership,"1,000 Readers"
19,Contributor,10 Reviews
20,Photographer,10 Photos
21,Explorer,2 Reviews
22,2015 Travelers' Choice Hotel Reviewer,1 Review
23,Senior Contributor,20 Reviews
24,Senior Photographer,20 Photos
25,Passport,26 Cities
26,Readership,"5,000 Readers"
27,Readership,"10,000 Readers"
28,Readership,"15,000 Readers"
29,Readership,"20,000 Readers"
30,Readership,"25,000 Readers"
31,Readership,"30,000 Readers"
