,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Helpful Reviewer,1 Vote
4,Readership,100 Readers
5,Hotel Expert ,Level 3
6,B&B and Inns Expert,Level 1
7,Restaurant Expert ,Level 5
8,Attraction Expert,Level 3
9,Senior Reviewer,5 Reviews
10,Helpful Reviewer,5 Votes
11,Helpful Reviewer,10 Votes
12,Readership,500 Readers
13,Readership,"1,000 Readers"
14,Contributor,10 Reviews
15,Senior Contributor,20 Reviews
16,Passport,19 Cities
17,Helpful Reviewer,25 Votes
18,Readership,"5,000 Readers"
19,Readership,"10,000 Readers"
20,Readership,"15,000 Readers"
21,Readership,"20,000 Readers"
