,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 7
7,Luxury Hotel Expert,Level 3
8,Boutique Hotel Expert,Level 1
9,B&B and Inns Expert,Level 1
10,Resort Expert,Level 1
11,Restaurant Expert ,Level 3
12,Attraction Expert,Level 2
13,Senior Reviewer,5 Reviews
14,Junior Photographer,5 Photos
15,Helpful Reviewer,5 Votes
16,Helpful Reviewer,10 Votes
17,Readership,500 Readers
18,Readership,"1,000 Readers"
19,Contributor,10 Reviews
20,Explorer,2 Reviews
21,2016 Travelers' Choice Hotel Reviewer,1 Review
22,Senior Contributor,20 Reviews
23,Passport,24 Cities
24,Readership,"5,000 Readers"
25,Readership,"10,000 Readers"
26,Readership,"15,000 Readers"
27,Readership,"20,000 Readers"
28,Readership,"25,000 Readers"
