,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Restaurant Expert ,Level 7
7,Attraction Expert,Level 4
8,Senior Reviewer,5 Reviews
9,Junior Photographer,5 Photos
10,Helpful Reviewer,5 Votes
11,Readership,500 Readers
12,Readership,"1,000 Readers"
13,Contributor,10 Reviews
14,Photographer,10 Photos
15,Explorer,4 Reviews
16,Senior Contributor,20 Reviews
17,Senior Photographer,20 Photos
18,Passport,26 Cities
19,Readership,"5,000 Readers"
20,Readership,"10,000 Readers"
21,Readership,"15,000 Readers"
22,Readership,"20,000 Readers"
23,Readership,"25,000 Readers"
24,Readership,"30,000 Readers"
