,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 13
7,Resort Expert,Level 6
8,Restaurant Expert ,Level 27
9,Attraction Expert,Level 4
10,Senior Reviewer,5 Reviews
11,Junior Photographer,5 Photos
12,Helpful Reviewer,5 Votes
13,Helpful Reviewer,10 Votes
14,Readership,500 Readers
15,Readership,"1,000 Readers"
16,Contributor,10 Reviews
17,Photographer,10 Photos
18,Explorer,7 Reviews
19,2015 Travelers' Choice Hotel Reviewer,1 Review
20,Senior Contributor,20 Reviews
21,Passport,24 Cities
22,Helpful Reviewer,25 Votes
23,Readership,"5,000 Readers"
24,Top Contributor,50 Reviews
25,Helpful Reviewer,50 Votes
26,Readership,"10,000 Readers"
27,Helpful Reviewer,100 Votes
28,Readership,"15,000 Readers"
29,Readership,"20,000 Readers"
30,Readership,"25,000 Readers"
31,Readership,"30,000 Readers"
32,Readership,"35,000 Readers"
33,Readership,"40,000 Readers"
34,Readership,"45,000 Readers"
35,Readership,"50,000 Readers"
36,Readership,"55,000 Readers"
37,Readership,"60,000 Readers"
38,Readership,"65,000 Readers"
39,Readership,"70,000 Readers"
40,Readership,"75,000 Readers"
41,Readership,"80,000 Readers"
42,Readership,"85,000 Readers"
43,Readership,"90,000 Readers"
44,Readership,"95,000 Readers"
45,Readership,"100,000 Readers"
