,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Helpful Reviewer,1 Vote
3,Readership,100 Readers
4,Hotel Expert ,Level 19
5,Luxury Hotel Expert,Level 11
6,Boutique Hotel Expert,Level 9
7,B&B and Inns Expert,Level 3
8,Resort Expert,Level 2
9,Restaurant Expert ,Level 14
10,Attraction Expert,Level 14
11,Senior Reviewer,5 Reviews
12,Helpful Reviewer,5 Votes
13,Helpful Reviewer,10 Votes
14,Readership,500 Readers
15,Readership,"1,000 Readers"
16,Contributor,10 Reviews
17,Explorer,3 Reviews
18,2015 Travelers' Choice Hotel Reviewer,2 Reviews
19,2016 Travelers' Choice Hotel Reviewer,4 Reviews
20,Senior Contributor,20 Reviews
21,Passport,72 Cities
22,Helpful Reviewer,25 Votes
23,Readership,"5,000 Readers"
24,Top Contributor,50 Reviews
25,Helpful Reviewer,50 Votes
26,Readership,"10,000 Readers"
27,Readership,"15,000 Readers"
28,Readership,"20,000 Readers"
29,Readership,"25,000 Readers"
30,Readership,"30,000 Readers"
31,Readership,"35,000 Readers"
32,Readership,"40,000 Readers"
33,Readership,"45,000 Readers"
34,Readership,"50,000 Readers"
35,Readership,"55,000 Readers"
36,Readership,"60,000 Readers"
37,Readership,"65,000 Readers"
38,Readership,"70,000 Readers"
39,Readership,"75,000 Readers"
40,Readership,"80,000 Readers"
41,Readership,"85,000 Readers"
42,Readership,"90,000 Readers"
43,Readership,"95,000 Readers"
44,Readership,"100,000 Readers"
45,Readership,"105,000 Readers"
46,Readership,"110,000 Readers"
47,Readership,"115,000 Readers"
48,Readership,"120,000 Readers"
49,Readership,"125,000 Readers"
50,Readership,"130,000 Readers"
