,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Reviewer,3 Reviews
3,Beginner Photographer,3 Photos
4,Helpful Reviewer,1 Vote
5,Readership,100 Readers
6,Hotel Expert ,Level 3
7,Restaurant Expert ,Level 16
8,Attraction Expert,Level 4
9,Senior Reviewer,5 Reviews
10,Junior Photographer,5 Photos
11,Helpful Reviewer,5 Votes
12,Helpful Reviewer,10 Votes
13,Readership,500 Readers
14,Readership,"1,000 Readers"
15,Contributor,10 Reviews
16,Photographer,10 Photos
17,Explorer,2 Reviews
18,Senior Contributor,20 Reviews
19,Senior Photographer,20 Photos
20,Passport,38 Cities
21,Helpful Reviewer,25 Votes
22,Readership,"5,000 Readers"
23,Top Contributor,50 Reviews
24,Expert Photographer,50 Photos
25,Readership,"10,000 Readers"
26,Readership,"15,000 Readers"
27,Readership,"20,000 Readers"
28,Readership,"25,000 Readers"
29,Readership,"30,000 Readers"
30,Readership,"35,000 Readers"
