reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great pub,"Had a lovely meal in here, mussels were brilliant, burger very good. Service was efficient especially sophie who was very helpful with our menu choices.",Date of visit: October 2020,The Chequers,4,"Chipping Norton, United Kingdom"
Sunday dinner WOW!,"6 of us had Sunday dinner today. Could not find fault with anything, the food was superb, as was the service. Roast potatoes were the best. Great size portions.",Date of visit: October 2020,The Chequers,4,"Churchill, United Kingdom"
Brilliant cocktails!!!!,"Great bar, staff were amazing and very friendly, adhering to covid19 rules, we could have sat here all evening enjoying happy hour cocktails.",Date of visit: September 2020,Revolution,4,"Cambridge, United Kingdom"
Fab pub,"Bit early for check in at the premier inn so popped in this fantastic greene king pub opposite. Great lunch menu (toastie was anazing),lovely and clean, adhering to covid rules. Lara behind the bar was lovely and friendly as was the local customers.",Date of visit: September 2020,The Corner House,4,"Cambridge, United Kingdom"
Amazing carvery,"Just had a Sunday carvery at the oaks and it was amazing. Choice of beef, pork or turkey (you can have all three) great choice of veg and all the staff were lovely. Will definitely be returning when in Essex again",Date of experience: February 2020,Rivenhall Oaks Golf Centre,4,"Witham, United Kingdom"
Fantastic,"10 of us had a meal here last night. The food was exceptionally good, service and atmosphere absolutely brilliant. One of the best Chinese meals we've had. Highly recommended.",Date of visit: December 2019,Royal China - at the Red Herring,4,"Lowestoft, United Kingdom"
Cash & Carter,"Our 1st visit to this gorgeous quaint yet quirky theatre. Front row table, excellent service and the entertainment was fantastic. I will definitely use this theatre from now on.",Date of experience: November 2019,Pavilion Theatre Gorleston,4,"Gorleston-on-Sea, United Kingdom"
Wow....,"We popped into the bell for lunch and couldn't believe the makeover since Trevor took over. Such a lovely clean, modern welcoming pub. Had a lovely lunch/drink. Will be returning",Date of visit: September 2019,The Bell,4,"Hemsby, United Kingdom"
Fantastic carvery,We had a carvery here yesterday to celebrate my birthday. Absolutely spot-on. The selection of food and quality of it is exceptional. Lorna and her staff did brilliant again...THANK YOU.,Date of visit: September 2019,The Lacon Arms,4,"Hemsby, United Kingdom"
Lovely meal,Another fantastic meal at planet spice. Very busy and waited an hour for our main but worth the wait. Booking advised at weekends.,Date of visit: September 2019,Planet Spice,4,"Great Yarmouth, United Kingdom"
The best roast dinner,"Had Sunday lunch - roast beef and all the trimmings. Absolutely amazing potatoes, beef was perfectly cooked and a huge Yorkshire pud. A good traditional roast and great value.",Date of visit: September 2019,The Bell Inn,4,"Carlton Colville, United Kingdom"
Great food but,"Not great service. Had to wait a while to be seated, wasn't offered the specials, waited a while to give our drink order and waitress took it with our food order. Air con was on and restaurant was cold we wasn't the only family with our coats on but...food was really good and great dessert selection just a shame about the service.",Date of visit: September 2019,The White Hart Bar & Restaurant,4,"Great Yarmouth, United Kingdom"
Wow,While staying at eriphilli my husband was having terrible back pain in his lower back. We booked a massage with alex and it was heaven. The deep tissue is amazing and we both felt great the next day. My husband's back pain has completely gone. Highly recommended,Date of experience: June 2019,Alexandra Kefalonia Massage,4,"Cephalonia, Greece"
Another amazing holiday,"This is our second time at eryphilli and we will be coming back again. Nykos and his family can not do enough to make your stay the best. Such a friendly place, amazing food with a pool you dream about. Wouldn't want to stay anywhere else.",Date of stay: June 2019,Eryphilli,4,"Cephalonia, Greece"
