reviewTitle,reviewDetails,reviewDate,reviewFor,reviewRating,reviewLocation
Lovely food great service but please vary the music same song on repeat ☺️,"Food was really lovely it really was very very good also tried the bakery which was lovely ... one thing please vary the music same song on repeat for a 2 hour meal was a bit much, we ate there twice as it was so good PLEASE vary music",Date of visit: September 2020,Restaurant Tsambikos,1,"Rhodes, Greece"
Worst meal in 2 week stay/ miserable service apart from owners son who was the only good thing about this restaurant,"It was not fresh fish caught that day, tourist trap lie and then you get charged €104 which was going to be €114 Euro until we complained /for fish and chips and a tuna salad WE DIDNT EVEN ORDER WINE, we eat out every day and night on holiday and are experienced in good food and service that we are more than happy to pay for if all these are good, honestly guys unless you look like you have sailed in on a yacht you are treated like a lesser customer we witnessed this and it was very uncomfortable/ not a great experience bad waiter service miserable owners / not the Greek experience of really welcome and friendly / we are taking the friendly son out of this / he should run that business solo... they would do much better",Date of visit: September 2020,Palestra Restaurant,1,"Rhodes, Greece"
Best meal we had Pefkos/ Lindos everything we had was 5 star,"So every food choice was lovely and much better than every other restaurant, we ate out everyday and every night, their breakfasts are also amazing and being an Interior Designer I can honestly say it is designed beautifully and tastefully right down to cutlery dinnerware choice absolutely 5 star , service was also spot on asking what you would like to drink before you order food is a must, something very simple that a lot of restaurants got wrong... we really loved it here make it one or more of your stop offs/ Gin and Tonics rocked also well done ENIGMA XXXXXX",Date of visit: September 2020,Enigma Restaurant,1,"Rhodes, Greece"
Beautiful Restaurant LOVED THEIR MOUSSAKA,"Beautiful restaurant I loved it here, great location and so pretty and typically Greek, The waiter who we called DADDY Was amazing Maria we loved her she was very helpful and we were welcomed by the lovely owners Yoke and her husband we will be going back we visited twice in a 3 day stay MOUSSAKA and Mixed GRILL lovely and great value ❤️❤️❤️❤️ really pretty restaurant DONT MISS IT",Date of visit: September 2020,To Rodi,1,"Rhodes, Greece"
Romantic stay in the Old Town,"If you want a really comfortable stay do not go anywhere else, and in the middle of the Old Town ..really peaceful Theo the owner made us so welcome upon arrival, he sat us down and explained all we needed and wanted to know for a short 3 day stay from the best tourist things to do to the best places to eat. What is worth mentioning is the unbelievable comfort of the bed, such a luxury from where else we were staying, bedding super clean and lovely comfortable duvet if you are cold, it was really home from home, Robes and slippers coffee machine in the room, water and a couple of beers in the fridge cannot fault this place , we will be going back again, honestly a great stay and really lovely host ️️️️️️Thank you Theo",Date of stay: September 2020,Mystic Hotel,1,"Rhodes, Greece"
Beautiful clear water and tranquil,"No photos sorry but description worthy, the water is so clear here and such a tranquil quiet beach, definitely worth a visit .... lovely",Date of experience: September 2020,Tsambika Beach,1,"Rhodes, Greece"
BRILLIANT !!! Mixalis AKA Mike great fishing trip ☀️,"Honestly really lovely trip so worth the money, we caught so many fish... Mike was very patient with me.. I have no clue about fishing but honestly had so much fun, the Food Mike cooked on the barbecue was amazing... very special memory created for us... to be topped off listening to BONEY EM even had a little dance on a fishing trip... DADDY COOL",Date of experience: September 2020,Captain Manolis Fishing Trips in Rhodes,1,"Rhodes, Greece"
Great value food,"Really lovely xx £20 per head deal was great value, the tables were set beautifully, portions were also great lots of extra vegetables, tasty",Date of visit: February 2020,Burgundy Restaurant,1,"Bickenhill, United Kingdom"
Hospitality better than good and WITH OUR DOG BRUCE,"This stay was for an NEC SHOW, not only did the hotel welcome DOGS the staff at the Hotel offered to PET SIT for the day for our BULLDOG BRUCE, they made our stay great and our day possible at the NEC, Every member of staff were amazing and I mean every member... owners of Hotel i am sure are very proud, oh and all the food we had was amazing, Thank you xxxxx Chelsie and Ricky ( and BRUCE) x

️",Date of stay: February 2020,Arden Hotel & Leisure Club,1,"Bickenhill, United Kingdom"
Beautiful hotel traditional english style at its best 😍,"From the minute we parked the car we were approached by Hotel staff member who from that second of arrival we were helped unpack our car for our stay with our dog, they treated our dog so well...im still gobsmacked at how easy our stay was made with a10 week old puppy, staff took everything to our room....simply cannot fault it food, staff, decor, choice help more than good, we stayed for 2 nights Christmas eve and Christmas day to boxing day.......it was like being at home without all the work of Christmas...a real treat....even got a knock 3x on our hotel door giving us chocolates....you have to stay here ....we had room 216 slipper bath in bedroom....stunning /// only one thing paying for parking daily should be included in the stay",Date of stay: December 2019,Gonville Hotel,1,"Cambridge, United Kingdom"
