reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great pastries and good service,Was there due to proximity from hotel but have to say the food was excellent. Breakfast and lunch are both good and the service is great considering it is French. Highly recommend,Date of visit: October 2018,Eric Kayser - Bac Musée d'Orsay,1,"Paris, France"
Great food,Was there for our first meal at santorini. The good was excellent and the view was awesome. I asked regarding a cake for my wife since it was her birthday and they came with a cake and candle. Perfect,Date of visit: October 2018,Argo Restaurant,1,"Santorini, Greece"
Awesome experience and perfect tour,It was such a perfect tour including the cake which was prepared for my wife for her birthday. My son loved the fishing and watching them bring in the catch. The food was so well prepared and we even got an octopus which was really good. Can't say enough good things about Anhti and the crew. Ended with a wonderful sunset,,Santorini Traditional Fishing Experience with transportation,1,"Santorini, Greece"
Good food but service was too slow,"Was here with friends and family.

The cheese was good and the food was excellent but the service was slow. Good wine and cheese and good steak.

I guess hard to complain considering France",Date of visit: May 2018,Le Muns' - Les Tables du Munster,1,"Strasbourg, France"
One night stay,We booked for a short stay in Strasbourg. The hotel is nice in appearance and good service. Location is perfect but only problem is limited parking. The room was a little small for the price we paid. But overall was pretty enjoyable,Date of stay: May 2018,Sofitel Strasbourg Grande Ile,1,"Strasbourg, France"
Great food and atmosphere,"The food was great and good beer with impeccable service. We ordered the the block burger, fish and chips, and sirloin steak with squid.

The food was great and beer was great",Date of visit: May 2018,Bar + Block Steakhouse,1,"Birmingham, United Kingdom"
Good Italian restaurant,We walked in without a reservation. Although it was relatively full they seated us within 15 minutes. I had the risotto and was made to perfection. I have been in and out of Italy for several years on business and have to say was one of the better dishes I had. My son had the steak and was also very good. Highly recommend.,Date of visit: April 2018,Osteria La Vecchia Lira,1,"Milan, Italy"
Perfect place to get a quick bit,We had some time to burn before a concert and wanted to grab something quick. We saw the display in the window and thought it would be okay. The pizza was wonderful as well as the pasta. We went back the next day because we enjoyed it so much. Would recommend everything on the menu,Date of visit: April 2018,Happy Pizza,1,"Venice, Italy"
Excellent service and food,"We originally planned for dinner but changed to lunch. Have to say the food was perfect. My son had the veal, my wife the squid and me a pasta dish. Wine was awesome and the antipasto is perfect",Date of visit: April 2018,Osteria Enoteca San Marco,1,"Venice, Italy"
Good food with good service,Actually was there two times but didn't recognize the second time it was same restaurant. The good is food with the changing menu it seems to improve. Excellent wine especially with the seafood. Only thing is both times there was some items in the menu unavailable which was disappointing because it sounded really good.,Date of visit: February 2018,Ristorante L'Incontro,1,"Modena, Italy"
Worst eating experience,"Even though we made a reservation we had to wait to get seated. Then when they seated us it was not what we asked for. Then the food came 50 mins late. Then to boot when we were still eating the server came with the bill and asked us to pay in the middle of our meal.

Have to say regardless of what other reviews says regarding the taste with service like this it make everything taste bad.",Date of visit: April 2017,Yabase,1,"Düsseldorf, Germany"
Awesome food and service,Was visiting Valencia for a couple of days. Found this place through various website. The food was awesome. The paella was perfect. The service was great and quick for a paella place. Would definitely recommend,Date of visit: February 2017,La Pepica,1,"Valencia, Spain"
Played golf here,We were here to play golf and have to say there golf course was really in good condition. The Greens were a little too big but was really well kept. The mountain course was harder but still enjoyable. I would recommend. The facility was good and the caddies were not too over bearing. It took us 4 hours which is hard to confer by in Korea,Date of stay: August 2016,High1 Palace Hotel,1,"Jeongseon-gun, South Korea"
Golf course,I was here for a tournament and have to say the course was extremely hard. It was hard in the sense of walking as well as the course. The up and downs were tiring. There condition I have to say was really good. Greens are well maintained and the fairways are clean,Date of stay: July 2016,Golfhotel Vesper,1,"Sprockhoevel, Germany"
One is the best seafood restaurant,I came with a friend and colleague to this restaurant which he knew for a while. The food is to die for. The seafood was excellent. We had each of the appetizers (4 on the list) and had the grill combination with different kinds of fish and shrimp. Have to say was really perfect. For the appetizers the octopus was unbelievable. The texture was very special and delicious. You will not regret,Date of visit: June 2016,Ristorante Molo 16,1,"Turin, Italy"
Clean good hotel,I was here for one day on a business trip. There location was good for me because it was closer to our plant. There rooms were clean and there staff was friendly and accommodating. Compared to the other hotels it was better and price range was acceptable,Date of stay: June 2016,Hampton Inn Cincinnati Airport-North,1,"Hebron, Kentucky"
Beer and bar food,If you are looking for a place with good beer and good bar food this is the place. We tried the blonde and brown beer which is their private brewery and have to say both are good. I prefer the blonde beer. The wings are good as well. Also the hangover burger was excellent. I would recommend.,Date of visit: June 2016,Twin Peaks Restaurants,1,"Troy, Michigan"
