reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Fishing and Sunset,"Captain Nick and his ""mate"" were very obliging, knowlegeble and were very pleasant to be with on the boat. From the moment we met them, to the time we left we were at ease and informed of everything. I fished, did nt catch anything to mention!! But then it was in the middle of the day and was nt really expecting to. We snorkelled, went to the warm springs and ate on the boat. Nick had caught a fish first thing in the morning which was lovely - as were the salads and accompaniments. To see the sunset from the boat is different and truly lovely.

The trip was not cheap, but I would suggest anyone took the trip.",Date of experience: July 2018,Santorini Fishing Trips,4,"Santorini, Greece"
Lovely beach,"the ""cliff"", if that is what you can call it was made of either compressed sand, or sandstone, and over the years the weather has carved itself into the face leaving it with random shapes and lines - it was beautiful.

The beach did have several people on it, but was far from being crowded. There is a short walk to go past the unbrellas etc, then there is an expanse of beach!",Date of experience: July 2018,Vlychada Beach,4,"Santorini, Greece"
Perfect,"Our room was exactly as described, and clean. When we arrived we were greeted by a local young lady who could not be more helpful. As I understand it there are two young ladies that work in ""reception"" and both were as good as each other. You have to let them know what you would like for breakfast, and at what time and it is delivered to your room. We always got what we ordered and at the right time!

I do not have anything negative to say about our room or the service we received. Perhaps, the telegraph pole on the track at the rear of the suites got in the way of our photos of the sun set! But if that is all there is to complain about...…..",Date of stay: July 2018,May Seven Suites - Adults Only,4,"Santorini, Greece"
"We Waited, waited and waited some more then..........the food was not good","My wife and I took my mother out the Saturday before Mothering Sunday to have lunch. We were very disappointed by the service... My wife had phoned up the day to make a reservation and the earliest we were offered was 1.30 pm - so we rightly assumed that it was going to be fairly busy.

We arrived at 1.20 pm and were nicely greeted and shown to a table, and some minutes later offered a drink and given menus - then we waited for a very long time to receive the drinks, expecting the person to drop their tray off and return to take our order! Then at least 10 minutes later I had to ask for the young lady to take our order. This was done well, but it was obvious the young lady was new and was not familiar with everything, as someone else returned to confirm our order (which incidently had been taken correctly). We only ordered main courses!

Again, we waited and waited - I do not know how long but it was extremely excessive. Between us we ordered two different salmon dishes (one from the main menu and the other from the ""blackboard"". Mine was with an asparagus and king prawn risotto - the salmon was nicely cooked, the risotto on the otherhand was very wet and dosed to an extent making it all but inedible with pepper. The other salmon dish was with pak choi, which you might have doubted as to whether it had been drained (it was so wet it spoiled other parts of the dish).

Sometime after we had finished our food we thought the waitress was coming to clear our plates away, but no she had come to clear a table right next to us - at this point my wife asked her to clear our plates informing her that we had been waiting a long time. The waitress cleared 2 of the plates and disappeared as she had been asked to do something else by a more senior person!

At this point I asked for the bill as it was 3.35 pm (two and a quarter hours after arriving and only having a main course) - it did not arrive - so I went to complain and pay! The lady who I asked was pulled away by a man (who appeared to be in charge, hiding behind the bar) and I remonstrated to him about the length of time it had taken to eat a main course, and explained that my dish was all but inedible. I am afraid to say that whilst he was apologising he did not seem to care at all - blaming the situation on the good weather on everyone visiting them, and a member of staff not turning up. I am sorry.... but the weather forecast for that day was showing as being good all week, and one member of staff would have helped but two would have been more adequate.

In a nutshell the service was almost non existant and the food was poor - I would not recommend going, and will not be returning.",Date of visit: March 2019,The Ragged Cot Restaurant,4,"Minchinhampton, United Kingdom"
Lovely home cooked food,"I ate the faggots. You don't see them everywhere, so it was quite a treat! Was able to sit outside on a lovely evening! Lovely!",Date of visit: July 2017,The Twelve Bells Pub and Restaurant,4,"Cirencester, United Kingdom"
Okay!,"We have been going to the Sultan for a couple of years on a regular basis. It may be that it has changed, but for us it is not what it used to be! The last meal we had was not as good and the service was not as genuine, still good, and for us as we were always recognised not as personal.",Date of visit: June 2017,Sultan,4,"Cirencester, United Kingdom"
"Nice Location, lovely place , food average","The location is great for us, as we live locally and like to cycle around. The Old Boathouse allows us to refresh on our journey! The service each time we have been there is nowhere near as quick as it could be, and the food,I think, is average. It is lovely to sit out at the back by the lake, which in my mind is stunning.",Date of visit: June 2017,The Old Boathouse,4,"South Cerney, United Kingdom"
A lovely stay and great meal,"Our room was nice despite hoping for a sea view and overlooking the road (we did book late and did not ask!). We had dinner which was really very good, breakfast the following morning was excellent and being able to sit outside was a real bonus. The weather was lovely as was the view across the sea.",Date of stay: July 2016,Pebble Beach Rooms,4,"Barton-on-Sea, United Kingdom"
Nice Place,"Our room was on the third floor, and despite the weather being very hot the room maintained a comfortable temperature. All of the windows opened and, probably being quite high up allowed for a good air movement. The room was comfortable, as was the bed, the bathroom had all of the things that you would expect. We joined some friends at a private luncheon - the food was average, nothing to complain about but was not exceptional. Breakfast was okay as well!",Date of stay: July 2016,The Kings Arms Hotel,4,"Christchurch, United Kingdom"
Good Location and nice place,"We were welcomed nicely, the room was a little small - but then you get what you pay for. My wife suffers with her back, and the bed did not help her at all and she did not sleep at all well and suffered the following day. The room was very clean and the rest of the amenities left nothing to complain about except the shower was maybe not as powerful as it might have been.",Date of stay: July 2016,The Chocolate Boutique Hotel,4,"Bournemouth, United Kingdom"
