reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
An absolute delight,Very well located in the Palermo district this small and traditional hotel is an absolutely perfect location to see the buzz of buenes Aires. The service was fantastic and everyone was so helpful. Rooms are clean and common areas were very comfortable. You really feel you are in buenes Aires and it’s just round the corner from don Julio steakhouse. We left something by mistake and they Are arranging to send on. We also stayed at the miravida soho and was also excellent but magnolia edges it,Date of stay: January 2020,Magnolia Hotel Boutique,1,"Buenos Aires, Argentina"
Not a Michelin Star Restuarant - very disappointing,"We ate last night the 25th January and were served frankly not very good food. The special aubergine starter was far from special, doused in soy sauce. The vegetarian curry was sour and the vegetables had been cut up into very small pieces. The pad Thai was bland and a decent Thai takeaway could have rustled up better. The food was poor by any standards. WRT service the waters were inexperienced and lacked the attentive behaviour expected from a top class restaurant. One was even on his phone at one point.
The pergula restuarant also at the hotel was far superior, in our opinion, both in quality of food and service. That was very good.
We took the time to feed this back to the head of catering who took on board our comments. They gave a small discount but it wasn’t about money back it was about ensuring they addressed the shortfalls. It’s unusual for me to write a review like this but it was that far off the mark.
I really feel for those chefs who strive valiantly for a Michelin star and this restuarant got one. It also reflects badly on Michelin.",Date of visit: January 2020,Restaurante Mee,1,"Rio de Janeiro, RJ"
The only place to see the falls properly,It’s expensive but it’s very good. Access to the falls on your own and they are right on your doorstep. It’s a classic hotel but. Worth it. Service was excellent and pool area large. If you really want to get the best from your visit stay here. We transferred from IGR and again it’s expensive but worth it because their driver helps you through customs and you don’t need to wait for the shuttle from the park gate. The hotel is the only one in the park grounds. Lots of wildlife particularly at dusk.,Date of stay: January 2020,Belmond Hotel Das Cataratas,1,"Foz do Iguacu, PR"
5 star Lucia and Ivan,We had very little time to sort a visit to The Moreno glacier but Lucia and Ivan sorted us out. Picking us up at the airport and taking us to the glacier then dropping us off at the mirador del largo hotel. The glacier is amazing. Calafate is a nice town just pity about the packs of dogs roaming round. Thank you for the visit. Amazing experience and thanks for prompt responses.,Date of experience: January 2020,Indigo Sud Traslados privados en El Calafate,1,"El Calafate, Argentina"
Very friendly and helpful staff,This is a fairly basic level of accommodation but it was clean and the people very friendly. They stored our bags whilst we did the W trek and the cafe area is very good. Couldn’t fault the welcome and service. Rooms are basic. Not a lot to do in Natales and a lot of stray dogs in the town.,Date of stay: January 2020,Hostal Amerindia Patagonia,1,"Puerto Natales, Chile"
Clean and good quality,We found this a great hotel for our stopover. The staff were well organised and very friendly like most Argentinians. I would recommend this hotel. Tickets were arranged for the bus to Natales and a good breakfast. Thanks guys.,Date of stay: January 2020,Hotel Mirador del Lago,1,"El Calafate, Argentina"
A traditional Argentinian Hotel,The Miravida was a great little hotel perfectly located in Palermo which is a very nice bohemian area of the city. It’s just round the corner from the famous don Julio steakhouse and the plaza Armenia. But what was really special was the staff so friendly and accommodating. All in all a very traditional building and you just get sucked in to the special atmoshere of this location,Date of stay: January 2020,Miravida Soho Hotel & Wine Bar,1,"Buenos Aires, Argentina"
Customer Focussed,My wife and friends spent a great weekend in Budapest and were bowled over by the service from Diana Rendek night manager And the assistant front office manager Judit Czapko. Both took the time to proactively sort out issues which made it a very special weekend. As a titanium elite member it really helps when Marriott look after your special ones when they are away. Diana also recommended a great restaurant which had Hungarian food and gypsy music.,Date of stay: November 2019,Budapest Marriott Hotel,1,"Budapest, Hungary"
Top quality food and service,The food is amazing and book to avoid disappointment. After the Taj Mahal this is the best attraction !,Date of visit: October 2019,Peshawri,1,"Agra, India"
Luxury inside drab outside. Great restaurant the Bukhara.,Like my review at the ITC in Agra the outside areas need money spent on them. Inside fantastic although this is an old hotel. The restaurant was fantastic as well Bukhara. As a Marriott titanium we didn’t get the welcome gift but did get the other benefits. Staff were very helpful. Not much to do in dehli so got the one night right. Jodhpur is worth any extra nights where we stayed at the Raas. When you go to India it’s worth spending more and getting a good hotel. You need to escape the noise and dirt when you venture outside.,Date of stay: October 2019,"ITC Maurya, a Luxury Collection Hotel, New Delhi",1,"New Delhi, India"
Fantastic indoors. Drab outdoors,This is a very good hotel and my titanium membership of Marriott was fully recognised with the exception of the welcome gift. I liked the fact they wrote down what I was due. Inside the hotel is excellent as was the room we were allocated. Outside the pool area and gardens were in need of upgrade and maintenance. It’s a shame because apart from the Taj and the fort their is little to do here other than lie round the pool. Outside the gates and in the town is pretty grim. Staff were excellent. One night in Agra is enough. With a better pool area they could easily keep people for more.,Date of stay: October 2019,"ITC Mughal, Agra- a Luxury Collection Hotel",1,"Agra, India"
A bit overpriced but different,This on the face of it is a very authentic hotel right in the centre of Jaipur. It’s colonial furnishings and buildings are truly to be admired. Our room was really good wire green marble tiled floor and old worlde antiques. Really nice pool area as well. So what’s not to like ? Well it’s a bit rough round the edges and the prices are too high. Why a 3 star rating ? While sitting in the main courtyard having a drink another resident decided to pass us by on his way to do some business. This resident had 4 short legs and a long tail. Enough said.,Date of stay: October 2019,Samode Haveli,1,"Jaipur, India"
What a View !,"This is a very good hotel with a spectacular view of the fort. Service excellent, gardens amazing and food too. Despite being in the heart of the city and all that goes with that this hotel stands as an oasis. The rooms were well laid out and immaculately clean. We only had 2 nights we should have had more jodhpur is definitely the best of the cities.",Date of stay: October 2019,RAAS Jodhpur,1,"Jodhpur, India"
Ripped off by Taxis at Split Airport be aware get an Uber,My advice for people wanting to take a taxi from split airport is don’t ! We went tot he taxi rank outside the airport entrance and were royally ripped off for our ride into the city centre. They charged 450kuna when it should have been 250kuna. They didn’t look like people to argue with so we paid up and immediately loaded UBER. This is a must for Croatia. No wonder Uber are taking over from taxis. The airport should be stopping this exploitation which was a bad start to a great holiday. Croatia is a wonderful country but be wary of the organisation running the airport taxis. !,Date of experience: August 2019,Split Airport Transfers,1,"Split, Croatia"
A new and high quality Marriott,This is a very new hotel but is well appointed and located. Clean and on the beach. As a titanium member they recognised this immediately. Well located not too far out of Dubrovnik which is very busy.,Date of stay: August 2019,Sheraton Dubrovnik Riviera Hotel,1,"Srebreno, Croatia"
Such lovely people,This is a really good small hotel with immaculate rooms and a great location. We stayed before a cruise with sail Croatia which was nearby. What made this hotel truly exceptional was the caring approach h the owner Anna and her staff had for guests. Well above what you would expect. We were overwhelmed with their kindness and thoughtfulness. I really would recommend this hotel. Wish we had spent more time in Split. Easily do a long weekend there. Thank you again for a great start to our holiday Anna.,Date of stay: August 2019,Splendida Palace,1,"Split, Croatia"
We will Always miss the Almissa,"We had a great cruise with some great people from down under and across the pond. Fabulous islands and ports, fantastic swim stops and excellent service all round by the crew. The last time we had been in the country was 1987 and it was called Yugoslavia and my how things have changed. The Alimissa and crew were young bright and reliable. We had a fabulous time but you must be prepared to throw yourself in and talk to people. You will not be disappointed, and you may even be surprised and learn something new. Yeah, you have probably picked up it was a brilliant experience, and journey.",Date of experience: August 2019,Sail Croatia,1,"Split, Croatia"
Solitude,We picked this resort because it was smaller and used low rise wood rather than 4 storeys of concrete. If you want a buffet all inclusive then go to one of the many many big resorts on the island. If you want a la Carter and solitude then go to keyonna. It’s the only hotel on a fabulous beach and the service was fantastic. Thoroughly recommend for couples.,Date of stay: May 2019,Keyonna Beach Resort Antigua (All Inclusive),1,Antigua
A special piece of history in the sun,This hotel is steeped in history and from the outside doesn’t look that appealing however when you get in you see that not only does it have character the quality of the food and rooms is great. We had 3 nights here then 4 at the keyonna beach resort at turners bay. If you like a big be anywhere all inclusive like sandals then go book sandals. If you want something unique and with character then come here. The swimming pool was across the water in 2 mins again another nice touch. We stayed in the garden rooms overlooking the pillars of the 18th centrury boathouse for repairing sails from the Royal Navy in nelsons time. Brilliant.,Date of stay: May 2019,Admiral's Inn & Gunpowder Suites,1,Antigua
Fantastic weekend in fantastic surroundings,"I read a lot of reviews about poor service but some people cannot see that the quality of this resort in its furnishings and settings is first class. Yes service can be improved but it’s a brand new hotel with new employees. Food selection could be better but the people are trying reallly hard. My son and I had a great golfing weekend. Course was really good and fair. It was also reasonably fair. As a titanium member they really looked after us, and I would recommend this hotel.",Date of experience: May 2019,Hacienda Del Alamo Golf Resort,1,"Fuente Alamo, Spain"
Great Greek taverna,We went out on the fishing boat during the day and ate the fish in the evening. This is a reallly good taverna with traditional fare and drinks. A short walk from our villa and to the beach. Very friendly.,Date of visit: September 2018,Isalos Spartia,1,"Cephalonia, Greece"
You do not need to eat in Morzine,This is a great restaurant. Food is local and of a high standard. We ate there twice in the 3 nights. Service was great and the folks worked really hard all night. We appreciated their friendliness. I would recommend without any hesitation. Well done and look forward to seeing you next year.,Date of visit: March 2019,La Petite Auberge,1,"Essert-Romand, France"
Exceeded Expectations,Really enjoyed staying here. Relaxed and peaceful with a great auberge nearby. We did not take a car and transferred using the Morzine express who dropped us off and picked us up at the chalet. Bus into and out of Morzine is infrequent but get your act together and it’s no problem. Taxis are ! There is also a takeaway pizza in the village and the owners are happy for you to take it back. They also cook on certain nights and it’s of a very high quality. Rooms are clean and new. Only complaint was towels were not changed in our 3 night stay. The views are to die for. It has a jacuzzi and sauna as well. Great value and we will be going back next year.,Date of stay: March 2019,Chalet Pura Vida,1,"Essert-Romand, France"
Given 7 Star Treatment by the St Regis Team !,"Having stayed at the st Regis in Mauritius we knew that the quality of accommodation food and service would be very high but this really did go well beyond expectations. We were treated with friendly faces everywhere and the standard of food first class. Located on the beach and near the marina mall and emirates palace the location was brilliant. Max our butler saw to our every need but not overbearing. More supportive and informative. From the beach team to those serving breakfast the service was fantastic. Abu Dhabi itself is far more easy to live in than Dubai and more homely. The grand mosque was an amazing sight and the Louvre building another with striking appearance. It was about 21deg and we still were burnt but cool in the evening. The Toscana restaurant was our favourite and drinking champagne in the crystal lounge a real treat. All in all a fabulous 5 day break in the sun in January. Thank you Max, Taras and all the rest of the staf at the ST Regis Abu Dhabi for a pampered and special holiday.",Date of stay: January 2019,The St. Regis Abu Dhabi,1,"Abu Dhabi, United Arab Emirates"
Immaculate attention to detail,It was a real privilege to stay in the klimpt room at this internally modern but outside commanding chateau. Having been to Vienna to a klimpt exhibition the gold and white interior was great as was the real attention to detail throughout. The owners were ultra helpful and was a complete delight. Well done Thierry and Ann Marie. Bravo !!,Date of stay: November 2018,Chateau De Maraval,1,"Cenac-et-Saint-Julien, France"
Open and thank goodness they were,Just left this restaurant when no one else were open we were glad these kind people could accommodate us. The meal was traditional and really good. I would thoroughly recommend this restaurant. Beats the competitors who couldn’t be bothered to open out the park. Merci !,Date of visit: November 2018,Les Prés Gaillardou,1,"La Roque-Gageac, France"
