reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Shepherds Hut,"We had a great stay in the luxury Shepherds hut. It was early March and the weather outside was terrible overnight. The hut had heating and was warm dry and cosy. Amazing how much you can fit into a small space. It was beautiful decorated and the bed extremely comfortable. Inside there is a double bed, tv, chairs table and tea and coffee making facilities. The owners also put in some welcome additional items such as wine, chocolates and biscuits. There is a beautiful view over the lake and if the weather had been better a table and chairs outside. The shower block nearby is also warm and clean with a separate kitchen block if required which has kettle, toaster and microwave. The owners were extremely friendly and helpful. We would highly recommend a stay here.",Date of stay: March 2020,Ty Coch Camping and Caravanning,4,"St. Brides Wentlooge, United Kingdom"
Great place to stop for lunch,Great place to stop for lunch or a quick coffee and cake. Everything is homemade and delicious. There’s plenty of seating both indoor and out with some lovely views. We always stop here on our way to Falmouth the hardest point is choosing what to have.,Date of visit: January 2020,Yummy Scrummy,4,"Devoran, United Kingdom"
If Carlsberg made Christmas cakes,"So it seems that in a cunning ongoing plan to make us put on weight the master chef at A Slice Of Life has done the impossible by creating a Christmas cake that is even better than last years! If you like Christmas cake you will not find one better but get there quick as we’ll be back for more! Other delicious homemade cakes, homemade lunches and cream teas are available and to be honest they are all amazing so eat them and leave the Christmas cake for us!",Date of visit: November 2019,A slice of life cafe,4,"Westward Ho, United Kingdom"
Sunday lunch well worth a visit,"Fantastic roast lunch. Definitely one of the best. Excellent choice of 4 meats, 2 veggie options and a huge selection of vegetables. Very friendly and welcoming. Couldn’t fault it.",Date of visit: November 2019,The Cyder Presse Pub,4,"Bideford, United Kingdom"
Perfect holiday,"Oasis’s apartments are typically Greek very similar to places we have previously stayed in. A welcome bottle of water is provided along with some toiletries, shower gel, soap, washing up liquid and even slippers. There is also a hairdryer, toaster, kettle and microwave. What makes the Oasis stand out as special is Mike & Elena, their family & staff. From the minute you get there your suitcases are whisked away to your room and Mike sits you down, gives you a free drink of your choice and gives you a welcome talk. He explains how to get into town and gives you a map of Skiathos pointing out places to visit etc. The gardens are amazing filled with hammocks, cushioned swing chairs, a fish pond and table tennis area. There are plenty of sun beds with cushioned mattresses around the pool so absolutely no need to reserve any. Each afternoon free watermelon is brought around for everyone along with iced water with lemon and mint. Mike also gave us one of the best days of our holiday by taking us and a group of others out on their boats. This was an amazing experience (thanks Mike & captain Elena) it is not a case as one previous review said of your face fitting The family welcomes everyone and if you happen to be there when he’s taking the boat out he invites you. Everyone is made to feel welcome. The bar area is really comfortable and food is excellent and well priced. There is also a happy hour each day, a quiz and various other events. The walk into town is about 10 mins max with waterfront tavernas even closer. Highly recommend is a visit to Mylos to watch the planes come in. We don’t often return to places and prefer to try different islands each year but Skiathos had so much to see we felt 2 weeks weren’t enough and definitely plan to return and stay at Oasis.",Date of stay: August 2019,Oasis,4,"Skiathos, Greece"
Best sardine ever!,We visited here twice and the first time had the sardines which were delicious. We watched a couple share a sea bass which was enormous and was boned at the table for them by the waiter then drizzled with olive oil and lemon juice. It came with potatoes and salad to share. We shared a joke that their sardine was bigger than ours and decided to return and try this for ourselves. It was the most delicious fish we have ever eaten. The staff here are genuinely happy and make you feel very welcome. There is also live Greek music playing which adds to the atmosphere. Just be aware that the sea bass on the menu is a much smaller portion and if ordering to share you pay by the kilo. It’s worth asking if unsure. If you enjoy fish we highly recommend trying this.,Date of visit: August 2019,Hellinikon Restaurant,4,"Skiathos, Greece"
Great traditional food,The food here was fantastic. The bread was toasted on the grill and came with a huge pot of olive paste. The mains had added mushrooms and carrots which tasted like they had also been cooked on the grill. All meals we have had in Skiathos have been great but this one stood out as being extra tasty. Prices were extremely good too.,Date of visit: August 2019,Old Street,4,"Skiathos, Greece"
Brilliant quirky place,A brilliant place right next to the sea front to either sit and have a drink or meal and watch the world go by. Really enjoyed our meals here of lamb flatbread and flat iron steak. Both were delicious and served by extremely friendly staff. Would definitely return if we are in the area again.,Date of visit: September 2018,Pilchards Cafe,4,"Port Isaac, United Kingdom"
Great nights sleep,"We had a fabulous time in Port Issac and can highly recommend this B&B. It is located in easy walking distance of the village of port Issac made famous as the location where they film Doc Martin. Steve welcomed us warmly and helped us park right outside. He then showed us to our room and gave us lots of helpful information about the area. The room was very clean and modern. It was at the back of the house and extremely peaceful with possibly the most comfortable beds we have ever slept on. There was plenty of tea, coffee and biscuits in the room with a supply on the landing if we wanted more. Breakfast was full English with all the trimmings plus a selection of cereal fresh fruit and yogurt. Oh and the tea was real not bags which is a rare find but much appreciated. Overall a great example of a B&B run by a friendly couple who have got everything right.",Date of visit: September 2018,Terrace Tea Rooms,4,"Port Isaac, United Kingdom"
Love this place,This place is amazing! Excellent value amazing food and extremely friendly staff. Visit every time we are in Cardiff just wish we lived closer. Just like being in Greece.,Date of visit: September 2018,The Hellenic Eatery,4,"Cardiff, United Kingdom"
