reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great guys,"Only really used for the water taxi to Coco beach but great set of guys , very friendly. We were fortunate to see some humpbacks on our way back and they stopped the boat so we could watch for a while",Date of experience: December 2019,ScubaCaribe,4,"Playa Matapalo, Costa Rica"
Nice to visit,"Not a great deal here apart from a few gift / tourists shops, plenty of bars and restaurants to choose from. Comes more alive at night , supermarket available",Date of experience: December 2019,Playas del coco,4,"Playa Matapalo, Costa Rica"
Just fantastic,"Amazing must go - zip lines brilliant and well looked after especially for 60 somethings , animals well looked after, good selection of snacks and drinks available",Date of experience: December 2019,Diamante Eco Adventure Park,4,"Playa Matapalo, Costa Rica"
Great food,"Beautiful setting, family run, great selection of traditional Greek food and at reasonable prices, we ate elsewhere but always found Panorama food tastiest",Date of visit: September 2019,Panorama Hotel Koukounaries,4,"Skiathos, Greece"
Beautiful beach,"Lovely long beach with plenty of tavernas, sun beds and parasols provided plus plenty of watersports",Date of experience: September 2019,Koukounaries Beach,4,"Skiathos, Greece"
Fantastic little Gem,"Stayed here for a week from the 18th September, it is an absolutely fantastic family run hotel. Dina , Apollo and everyone else are so friendly, welcoming and they cannot do enough for their guests. The hotel is spotless and rooms are cleaned every day with care, the bar area and restaurant has a great atmosphere and the food is quite honestly some of the best we have eaten in Greece. We give our great thanks to everyone at this little gem for a wonderful relaxing week and we shall be returning, cannot recommend enough. We were unlucky to be caught up in the Thomas Cook fallout but the help and support we got from the family was brilliant. We will be booking direct with Dina and Apollo next time",Date of stay: September 2019,Panorama Hotel,4,"Skiathos, Greece"
Friendly small hotel with great food,"Stayed here for 2 weeks in mid May, Maria cannot do enough for you and is always on the go. This is a great little hotel and real value for money, rooms are cleaned daily and to a high standard, my only criticism would be the beds which we found a little too hard for our liking but that is personal taste. The food is authentic Greek and very tasty and if you prefer more garlic etc this is not a problem just ask. The Greek night is well worth it and hilarious - trust me you will get involved. The boys at the bar Angel and Sorteris are great and are happy to concoct whatever you want and are always on hand to help. The hotel is situated about 15 mins walk into Limenaria where you can find various Tavernas, Boat cruises, shops etc. We did the Ipsarien tour which was brilliant and views to die for. Would recommend Sunray hotel and Ipsarien tour without a doubt. On a final note thanks to our great rep Jess from TUI.",Date of stay: May 2019,Sunray Hotel,4,"Thásos, Greece"
Great beach,"Fantastic long beach , great for walking , surfing , care to be taken when swimming , a tad cold in December but to be expected. Watch out for the camels. Locals selling great doughnuts well worth the couple of quid",Date of experience: December 2018,Agadir Beach,4,"Agadir, Morocco"
Great for walking,"Brilliant for your daily walk, a long promenade giving ample space and views, be aware of the local hawks , just say no",Date of experience: December 2018,Seafront Promenade,4,"Agadir, Morocco"
Xmas and new year holiday,"We arrived a couple of days late following the Gatwick drone episode and initially thought the hotel was great after our fraught journey. As the days went by it was clearly obvious that we were amongst the youngest (We in our late 50's) . The majority of the clientele are French and aged around 70 + and extremely rude and arrogant , apparently thinking that because French is morocco's 2nd language they own the place. Sunbeds along with dining tables are saved for them and you are left to feel somewhat of a 2nd class citizen. The hotel is a little gem just waiting to be discovered by someone who is brave enough, gardens, pool area , general staff are 1st class but unfortunately you feel like you are in a retirement home. We have used our tablets for some music in the afternoons and the staff have smiled, laughed and been much happier . Avoid at all cost rooms 266 to 271 as these are situated above the show room which is ridiculously loud and you are unable to sleep until gone 11pm, important if you have an early pick up for excursions. The restaurant unless you eat very early sounds likes a works canteen, although some food is good , but very annoying nevertheless. Would we return - unfortunately NO , not felt at home here and TUI should take it off their books",Date of stay: December 2018,Hotel RIU Tikida Beach,4,"Agadir, Morocco"
Honest review whilst sitting in bar,"Beautiful hotel and grounds however entertainment is very poor , seems like "" one foot in the grave "" . If you are over 80 you might like it but we are young 50 somethings and would appreciate some decent entertainment. Food is mediocre as usual catering to the masses, dont expect any greek culinary specialities because you will be disappointed. Seriously considering saying bye bye to all inclusive to get away from the bun fights at meal times .",Date of stay: May 2018,TUI BLUE Oceanis Beach & Spa Resort,4,"Kós, Greece"
Amazing good honest Cuban food,"Found this little gem later in holiday and wished we found it earlier , really friendly and serves great food with choices of lobster , prawns , chicken and pork . Servings are large as we found out so unless you are mega hungry best go for sharing the plates. Definitely recommend",Date of visit: December 2017,El Cacique,4,Cuba
So good we booked again for next year,"Stayed here 27th August for a week , really comfortable and very clean apartment. Cannot recommend enough ! Mary is fantastic with her never ending smile and so welcoming manner, George at the bar cannot go without a mention as he will do anything for you and always ready to get you a long cool drink after a busy day sightseeing. The area itself is beautiful and needs to be explored. As with other reviews we would recommend a torch if you are returning late at night. The walk is probably under ten minutes (in the morning) but we were there in 34 degrees and it did take a little longer in the afternoon when the sun bore down.
The only down side that we found was that the shower heads did not behave themselves and flooded the bathroom frequently amidst various screams !!
we have already booked again for next September and cannot wait to return.",Date of stay: August 2017,Aligis Studios,4,"Cephalonia, Greece"
Just Fantastic Food !,"Found Captain Jerry's on our first day and totally honestly did not bother going anywhere else. The food and staff are outstanding , as is the ambience , we could not remember happily spending so much time over lunch or dinner , also the staff are happy to leave you be and enjoy your meal without constant interruption .They offer free sunbeds during the day if you are spending with the Taverna and the total experience is great. You don't need to be a fish lover to eat here either as they also offer some great meat dishes such as lamb and pork chops, chicken, beef etc. Please try the mussels or prawn saganaki - you will not be disappointed , the sauce is to die for !! Don't go here for a diet - big portions but so tasty and authentic Greece. Jerry - we will see you next September - already booked !! and cannot wait",Date of visit: August 2017,Captain Jerry's,4,"Cephalonia, Greece"
Just Beautiful,"Such a lovely beach, quiet and serene feeling, had one guy who insisted having to listen to a UK radio phone in show - these people are ignorant - sorry . Waters are really shallow and clear, just a wonderful beach",Date of experience: August 2017,Katelios beach,4,"Cephalonia, Greece"
An amazing day out,"You have just got to go - no doubts ! A brilliant day out with Dimitrios and Efi , they are such a lovely couple and will go out of their way to ensure you enjoy your day, They set their nets at 3am in the morning and you then join them at 8am when they collect their nets and you get to see what was caught. You also get the chance to swim in amazing clear waters whilst Efi prepares a wonderful lunch with the fish that was caught along with salad and bread etc. Muhammed was a great laugh and you can help him to empty the nets. It is a day that no one should miss and we thoroughly recommend it. We are returning to Kefalonia next September and will be sure to catch up with Dimitrios and Efi again.",Date of experience: August 2017,Fishing Tourism Kefalonia Dimitrios-Efthimia,4,"Cephalonia, Greece"
In reply to Niels w 1 star review,"How on earth you can rate this as 1 star is totally beyond us and many return guests. You have insulted the Cuban hospitality and the many wonderful people at this hotel. I would suggest you stay away and never return as we would not desire such negative people at the resort. We are about to return for our 4th visit and know that we shall be met with the 5 star service we experienced on our first visit to our very last day .if you cannot appreciate the hospitality that all Cubans give their heart and soul to ensuring you have a wonderful time then please find somewhere else for your vacation , or stay in your little cocoon.",Date of stay: January 2016,Paradisus Rio de Oro Resort & Spa,4,Cuba
Disappointing after reading other reviews,"Good first overall impression having arrived early to find our room available and upon entering really impressed with the size of the apartment, we then found out that the bar was closed on Mondays, no problem, we would walk to the beach ! Where other reviews talk about it being 15 mins away (is there a short cut ) we finally arrived some 35 mins later , and we are not slow walkers , having had a 3am start by the time we got back we were k'd. Some 15 min walk - not ! Beds were really hard and uncomfortable and the setter in our apartment had definitely seen better days. Also surprised that we were so far out of Albufeira and taxi fares cost us 10 Euro each way. Overall not a particularly user friendly place, didn't find the pool area to be a relaxing area and given the uncomfortable beds would not return to these apartments. We will beyond a doubt return to Portugal as we found the people very friendly and helpful , local restaurants are really good , we particularly enjoyed O Girassol (probably not spelt correctly) and Prima Pasta, best pasta in Albufeira, and last but not least the Polu Sul across the road for their amazing breakfasts, cakes and coffees. (Shame about the noise from the sports bar next door ) - do you really need to watch football when on holiday ?",Date of stay: September 2016,Jardins Vale de Parra,4,"Albufeira, Portugal"
Good authentic pasta,"Was recommended by another couple at our apartments and first night was brilliant, we both really enjoyed our meals and I was overwhelmed by the size of the desert but nevertheless, had to eat it ! The second night we returned my husband found the lasagne to be quite salty and not to his tasting. However we would return if in the area",Date of visit: September 2016,Prima Pasta,4,"Albufeira, Portugal"
"3rd time back , still our top destination","Visited from 22nd December for 2 weeks , our first time over the Xmas period and have already booked to return next Xmas. Another wonderful experience , the staff here really make you feel at home and will do their utmost to make sure you enjoy your holiday and have a memorable time.
We tended to eat at the buffet most of the time and you would have to be a very picky eater not to be able to find something you like, We must also congratulate the chefs who created the wonderful Xmas eve display and the even more impressive new years eve display, absolute masterpieces.
The newly renovated pool area is a great place to chill out and read, or meet new friends around the bar.
Our special thanks go to Rolando, Aimee, Tulensis, Ylensis, Adanalis, Luis Manuel, Miriam, Alien, Maylin , Katia , Yolanda, Pablo who all went out of their way to give us a good time, and finally to Mirian and Jean-Marc for our very special Renewing of vows ceremony, a day we will never forget.",Date of stay: December 2015,Paradisus Rio de Oro Resort & Spa,4,Cuba
Great food and hosts,"Have stayed here twice now on business, the 2nd time being a party of 9 people and can honestly say that this is the best Italian food our party had tasted. The rooms are excellent and very nicely decorated, the one I was in had a Jacuzzi bath and flat screen tv in the bathroom, really nice to unwind after a hard day. All of our party enjoyed their stay and all loved the food and the ambience. No problem in recommending this place whatsoever.",Date of stay: December 2015,La Fontana,4,"East Hanney, United Kingdom"
