reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Αξίζει τον κόπο!!!,"Η παραλία της Αντισάμου είναι από τις πιο όμορφες στην Κεφαλονιά. Η πρόσβαση είναι εύκολη με αυτοκίνητο και υπάρχει αρκετός χωρος για πάρκινγκ . Επίσης λειτουργούν το καλοκαίρι μπαρ-εστιατόριο με ντους και ξαπλώστρες καθώς και θαλάσσια σπόρ.
Τα νερά είναι γαλαζοπράσινα και πάντα πολύ καθαρά. Σπάνια έχει κύμα. Το καταπράδινο βουνό που την περιστοιχίζει την κάνει μοναδική.
Στο τέρμα της παραλίας αρχίζει ένα μονοπάτι που αν το ακολουθήσεις πάει σε ένα μοναδικό φαράγκι γεμάτο βλάστηση και σπηλιές. Φανταστική εικόνα!!!",Date of experience: July 2019,Antisamos Beach,4,"Cephalonia, Greece"
Ωραία βραδιά!!,Το μαγαζί βρίσκεται σε πολύ γραφική θέση στην Αερόπολη. Όμως η αυλή του είναι ακόμα πιο ωραία. Άρωμα Μάνης και γεύσεις επίσης!! Φάγαμε πολύ καλά!,Date of visit: May 2019,Palaiopolis,4,"Areopoli, Greece"
Υπέροχη επίσκεψη!!!,"Το σπήλαιο είναι μία έκπληξη. Έχει πολύ μεγάλη ποικιλία χρωματισμών και σχηματισμών. Η οροφή του είναι μοναδική. Εκατομμύρια (πραγματικά) σταλακτίτες σαν τοπίο από ταινία επιστιμονικής φαντασίας είναι η εικόνα όταν κοιτάς την οροφή. Μοναδικής ομορφιάς σπήλαιο, αν και όχι τόσο γνωστό. Πρέπει να το βάλει στους προορισμούς του ο κάθε ταξιδιώτης.",Date of experience: April 2019,Kastania Cave,4,"Kastania, Greece"
Ζεστή ατμόσφαιρα,Επθσκευθήκαμε το Αρχοντικό κατά το τριήμερο της 25ης Μαρτίου. Είναι ότι καλύτερο υπάρχει στην περιοχή. Είχαμε ξαναέρθει στις Καρυές και είχαμε ακούσει τα καλύτερα. Τα δωμάρια πολύ καλά και το στρώμα φανταστικό. Ο πιο ωραίος χώρος το σαλόνι τους. Το πρωινό πολύ καλό επίσης. Top ήταν το σπιτικό ριζόγαλο. Θα το συνιστούσα σίγουρα και σίγουρα θα ξαναπάμε.,Date of stay: March 2019,Archontiko Parnona,4,"Karyes, Greece"
Αξέχαστη εμπειρία,Καταπληκτική η βόλτα μας. Αξέχαστες εικόνες και πολύ ενθουσιασμός. Τα χρώματα στο νερό είναι καταγάλανα και η σπηλιά πολύ ενδιαφέρουσα. Η βάρκα αρκετά καλή και ο βαρκάρης όλο τραγούδι και αστεία.,Date of experience: June 2018,Melissani Cave,4,"Cephalonia, Greece"
Super weekend,Υπέροχο ξενοδοχειο. Οι χώροι στο σπα ηταν πολύ καθαροί και άνετοι. Δοκιμάσαμε σχεδόν τα πάντα. Δυστυχώς δε βρήκαμε rv για μασάζ. Το φαγητό καταπληκτικό . Τα δωμάτια άνετα και μοντέρνα διακοσμημένα. Θα το συνιστούσα και σε άλλους που έχουν διάθεση για χαλάρωση.,Date of stay: October 2018,Lucky Bansko Aparthotel Spa & Relax,4,"Bansko, Bulgaria"
Ευχάριστη διαμονή!,Το προσωπικό ήταν πολύ εξυπηρετικό και ευχάριστο. Το δωμάτιό μας πολύ καθαρό και με πολύ άνετο στρώμα. Τα κλινοσκεπάσματα πολύ ωραία και το μπάνιο επίσης. Χρησιμοποιήσαμε το χώρο πάρκινγκ έξω από το ξενοδοχείο χωρίς χρέωση.,Date of stay: August 2018,Anatolia Hotel Thessaloniki,4,"Thessaloniki, Greece"
Υπέροχο παραδοσιακό & στο κέντρο!!!,Φανταστική διακόσμηση στα δωμάτια και τους κοινοχρηστους χώρους. Ιδανικό για διαμονή στην Πόλη. Μπαίνεις στην ατμόσφαιρα!!! Πιο κέντρο δε γίνεται. Ζεστό με ιδανικό χρώμα πολίτικης κουλτούρας. Το πρωινό σε αίθριο !!!,Date of stay: August 2018,Sokullu Pasa Hotel,4,"Istanbul, Turkey"
Great day! Unipue experience!!!,A wonterful day!! Very good service and friendly people. Unique experience. I would like to go back as soon as possible.,Date of experience: May 2018,Fishing Tourism Kefalonia Michalis,4,"Cephalonia, Greece"
Υπέροχη γευστική εμπειρία!!!,"Πολύ καλό φαγητό, μαμαδίστικες γεύσεις με πολύ καλή ποιότητα και άριστη εξυπηρέτηση. Η διακόσμηση πολύ πρωτότυπη με ιδέες από τους πελάτες!!!",Date of visit: November 2017,Piato,4,"Hydra, Greece"
σπήλαιο μελισσανης,Απο τα καλύτερα αξιοθέατα του νησιού. μην το χάσετε. Οι χρωματισμοί στα νερά είναι θαύμα!!! Οι βαρκες πολύ καλές με κεφάτους βαρκάρηδες που σας εξηγούν τα ενδιαφέροντα του σπηλαίου.!!!,Date of experience: August 2016,Avgerinos Travel Experience,4,"Cephalonia, Greece"
super,"Πολύ καλή δουλειά στον εξωτερικό χώρο, φανταστικό περιβάλον !! υπέροχες προτάσεις!!! πολύ νόστιμα πιάτα!!! περάσαμε τέλεια!!!",Date of visit: August 2016,Frutti di Mare,4,"Thessaloniki, Greece"
