reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
A bit of Paris in London.,Great atmosphere. Service and food excellent. A real treat at modest price. The wines are not too expensive and s good selection of digestives.,Date of visit: February 2020,Pierre Victoire,1,"London, United Kingdom"
Handy Italian,"I only had the seafood linguine. It was delicious plenty of fresh seafood in a tasty pasta sauce. The service was good and the food served hot, which is important. The price ok for immediate borders of Monaco.",Date of visit: September 2019,Cafe&Kitchen Il Calcio,1,"Monte-Carlo, Monaco"
Great traditional cooking,"I’m surprised at the number of negative reviews! The location is great and the food we ordered was really good. It’s a traditional restaurant not a touristy place, most Portuguese people at lunchtime. The centre piece is an old water fountain in working order. Locals still use the fresh water as it’s a public amenity. I had a prawn omelette and salad and fries which was delicious. It was fresh, hot and filled with tasty prawns. At €13.50 a little on the expensive side but service was good and attentive. The pudim or creme caramel was served in a portion large really enough for 3 to share and again was fresh and delicious. Expresso coffee was very hot and perfect with a smooth Maciera brandy. To enjoy this place It probably helps to speak Portuguese.",Date of visit: January 2019,Almirante,1,"Madeira, Portugal"
What a fantastic view,We took a yellow bus tour which was great and very reasonably priced at €18 for 48 hours with 3 possible routes. Part of our trip included a mini bus circuit to Cabo Giral. The views from the glass bridge and beyond we stunning. You can also relax over a beer or coffee taking in the very fresh air. The glass bridge isn’t for everyone especially with s fear of heights but is perfectly safe.,Date of experience: January 2019,Cabo Girao,1,"Madeira, Portugal"
Spectacular views and layout,"A great range of plants from around the World. Lovely terraces with stunning views. Buses 29, 31 and 31A stop directly outside. Entrance €6 for adults very reasonable. January is probably not the best month to visit although still quite s but if colour. Plants clearly marked showing genus and global regions. Sit enjoy the views and diversity of the planting. There is s trendy cafe in the gardens where you can relax.",Date of experience: January 2019,Madeira Botanical Garden,1,"Madeira, Portugal"
Ok restaurant,We chose to eat inside in the evening. The place is soulless. It could be improved by ambient lighting. The waiter seemed tired and uninterested as did most of the staff. The food was ok nothing fancy but substantial portions. Price point about right. Wines very reasonable. No doubt a better place at lunchtime when sunny in the square.,Date of visit: January 2019,La Pasta,1,"Madeira, Portugal"
Great food but,"I’ve been using Topolino’s for a number of years and have always enjoyed the food and service. Antonio is a great welcoming front of house.

On my last visit unfortunately he wasn’t there. Karen, whom I believe is the owner, was on duty. Everything seemed too much trouble for her. Her mood completely spoilt our evening. The other staff and food were great. I can only think she must have had an off day. The last thing anyone wants is a negative attitude when going out for a nice evening meal. Hopefully, it was just a one off experience.",Date of visit: December 2018,Topolino,1,"West Wickham, United Kingdom"
A gem with great views,"A great restaurant with simple well cooked food specialising in gyros and souvlaki, bbq and traditional Greek food , moussaka etc. Very reasonably priced. A gyros which is a meal in itself starts at only €2.50. For grilled meat pork of lamb, dip and chips in a pitta. So, so tasty. If you’re really hungry go for the mixed grill which could be shared amongst 3 easily. Drinks are also cheap and a good selection available.

The staff are so friendly and welcoming. Service on point and they don’t rush you!

The views are to die for. It’s a pity the place isn’t open at lunchtime. However, the cliff top location affords gentle breezes in the evening. Give this place a try and I’m sure you’ll go back again and again.",Date of visit: July 2018,Souvlaki Steak House & Grill,1,"Cephalonia, Greece"
Great fish & chips,A great local high street fish shop. The fish is always so fresh crispy tasty batter. You can eat in or takeaway. Friendly efficient service. Discounts for OAP’s on some days. Especially busy on Fridays.,Date of visit: July 2018,The Fish House,1,"Croydon, United Kingdom"
The best fishing trip ever,"My friends Alina & Debbie booked this trip as a surprise for me. Boy, what a surprise. We arrived at the quay at 8am to very warm reception. We boarded almost immediately and were served Greek coffee and home made sponge cake, delicious.

Once all the guests, I think they have a maximum of 10 on a trip, arrived we set off to place fresh nets. Once this was done, it took about 20 minutes, we moved on to recovery the previous days nets. Once the hauling process began much to my surprise a lobster appeared! In fact on that day the majority of the catch was rock lobsters - see picture.

It took a fair amount of time to complete the hauling exercise but every minute was exciting as you didn’t know what would appear. All undersized fish and sea creatures were immediately returned to the ocean to continue to grow and preserve stocks.

Once the process was complete we headed off to a quiet bay for swimming and relaxing whilst Antonia and the crew prepared our lunch. The lunch consisted of bruschetta followed by lobster, spaghetti cooked with the pan juices of the lobster etc. Greek and potatoes salad was plentiful plus white wine, water and soft drinks.

After a good rest we could resume swimming or in my case I enjoyed a quiet nap.

We returned to the harbour at around 4 pm throughly satisfied having been entertained royally by a wonderful family. a splendid unique day out for all the family.",Date of experience: July 2018,Fishing Tourism Kefalonia Michalis,1,"Cephalonia, Greece"
Tfr in Kefalonia,Easily booked and paid for my taxi on their website. The driver was there waiting for me and clearly visible. The car was large and extremely comfortable. One suggestion is that cold bottled water should be available in the care. Sun transfers are not the cheapest in the market but offer a great service.,Date of experience: July 2018,Suntransfers,1,"Barcelona, Spain"
Mediocre,Neat and tidy restaurant. Food looks as described in menu but more style over substance and flavour. No passion in the cooking. Do the chefs taste the food for seasoning or boil up a caldron and add water? We were expecting authentic flavours but sadly didn't get them. Waiting staff ok but not welcoming bland like the food and no enthusiasm.,Date of visit: November 2017,Hanoi,1,"Paris, France"
Not what it was!,"I've been visiting Chez Paul for over 20 years and have always enjoyed the food and ambience. However, on the last occasion the waiting staff were indifferent and the food my partner and I were served was lack lustre and portion size much diminished. The Onion soup was watery and the frisée aux lardon and poach egg salad minimalist. The room was stuffed with very, very loud Americans who gave no consideration to other diners. All in all a thoroughly disappointing dining experience.",Date of visit: November 2017,Chez Paul,1,"Paris, France"
Dreadful chain food,Ventured into Food Republic to try variety of cuisine. I tried the Nasi Lemak in Mdm Kwan's tasteless filet chicken not marinated with curry sauce just poured on top. Ilan billis soft and no crunch as soaked in Sambal which also had no distinctive flavour. Coconut rice also tasteless. I left 80% of the meal. Very disappointing given the hype.,Date of visit: April 2017,Madam Kwan's Pavilion,1,"Kuala Lumpur, Malaysia"
"Food good, service hit and miss","This restaurant is on the land side of the busy main road, although it provides a tranquil environment for dinner with good decor. The food was good a mix of Thai and western. The younger staff some family members were welcoming although the lady who I assume was the mother was less welcoming and seemed tired of waiting at tables. cocktails are good and they have draft Asahi beer which was a treat.",Date of visit: November 2016,Patty's Secret Garden,1,"Ko Lanta, Thailand"
Great fusion food offering,"We really enjoyed our meal here. The Skagen was an excellent starter. I had pan fried fish filets cooked to perfection, although a little too much butter/oil for my taste. Cocktails were excellent especially the Pina Colada",Date of visit: November 2016,Cozy Restaurant And Bar,1,"Ko Lanta, Thailand"
