reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Delicious!,"My mom and I each ordered the apple Dutch pancakes with vanilla ice cream. The waiter mixed up our order and only placed it for one serving when we wanted two. But, he was new to his job and there is always a learning curb with any new position. Overall the pancakes are delicious, but perhaps there needs to be more training support for new staff?",Date of visit: September 2019,The Pancake Bakery,4,"Amsterdam, The Netherlands"
Simply Amazing!,"This is such a gem of a hotel and I don't think I could ever fully capture just how amazing our stay was here (you'll just need to visit yourself!).

The hotel itself is well located, within walking distance to Vondelpark and the trams. It is only a 25 minute drive from the airport too. The breakfast was delicious and there is always something to order, no matter what time of day. There are also restaurants and stores nearby should you prefer to pick something up. But, the neighborhood is quiet and quaint.

We stayed in a Deluxe Room the first night and then moved into the Pillows Suite (as it was unavailable the first night). The staff moved our 8 suitcases (yes, we would pack less next time) into the suite effortlessly. Both rooms were comfortable, but the Suite of course was top notch. From the large soaker tub, sizable living area and cozy bed - we were practically at home!

By far the best part of this hotel is the staff. Everyone we met was professional, polite, kind and genuinely cared about our comfort. My baby was traveling with us and without the help of the staff here, our vacation would have been so stressful. From using their microwave to sanitize baby bottles to their provided high chair and crib; no detail was overlooked. While the hotel has an elevator, there are a couple of steps to get into the hotel (which seems to be standard for Amsterdam). The staff were always willing to help carry my daughter/stroller in and out of the hotel - she was treated like a princess!

I can not express enough gratitude to the staff especially at Pillows Anna van den Vondel for their care in ensuring our vacation (and my daughter's first trip to Europe) was special and memorable. From their recommendations (please book their walking tour with Alena - she is fantastic!), approachability (I must have emailed them 20 times before we even arrived) and overall good nature - we have so many fond memories of Amsterdam and it would not have been possible without the hospitality we received. THANK YOU!",Date of stay: September 2019,Pillows Luxury Boutique Hotel Anna Van Den Vondel,4,"Amsterdam, The Netherlands"
Christmas Lights and Windows Tour - Must Do!,"What a wonderful tour, highly recommend it! Sylvia did a great job staying on top of our arrangements. In fact, we had this planned for the day we arrived into London and were so tired that we just needed to rest in our hotel. It was not a problem for Sylvia, she coordinated with the driver and rescheduled our tour to when we were more awake. Outstanding flexibility! The tour itself was lovely, Bob did an excellent job. His knowledge of London is wonderful and we learned a lot about the history of the various sites we saw. A must trip to take and a great way to see the attractions!",Date of experience: November 2017,Top Class Black Cab Tours,4,"London, United Kingdom"
Amazing Honeymoon!!!,"My husband and I first came here about two years ago when we got engaged. We loved it so much that we just came back from having our honeymoon there and boy was it amazing! We stayed in the honeymoon villa which is the classic Santorini cave style. Upon arrival there were beautiful roses decorating the main room. The hot tub, private pool, outside shower and outside cave bed were all so luxurious! Super private and the views overlooking the caldera were breathtaking. Every morning you can choose from a selection of breakfasts served right to your private terrace (Greek, honeymoon, American, and Continential). Our favorite was the Greek one, but I recommend switching it up to try all of the amazing food (the Greek yogurt with fruit and honey is out of this world!). The cleaning staff is excellent, everything smells so fresh and not a spot of dust.
The super star of the resort, as many others have commented, is of course Niko the concierge. He went above and beyond to ensure our honeymoon and my husband's 30th birthday (busy week lol) were the most memorable. He arranged a catamaran cruise and as the sun was setting the crew took out a surprise birthday cake for my husband (which Niko had snuck onto the boat) and we all sang happy birthday. It was so much fun! Then to top it off, when we got back to the villa, Niko had candles all over our terrace with champagne and chocolate mousse waiting for us to continue the celebration. We were beyond speechless by the level of care and thoughtfulness. Also, in previous correspondence I had mentioned to Niko that we would love to take a fishing trip. Well Niko did some research and surprised us when he was able to arrange an authentic Santorinian experience. Niko really listens to the details and goes above and beyond to delight. He feels like an old friend and Celestia Grand is so lucky to have him. We will continue to come back in the future - hopefully next time with kids! Thank you again Niko for everything!!!!

P.S. Bring some pool floats, we brought a flamingo and it was a lot of fun!",Date of stay: June 2017,Celestia Grand,4,"Santorini, Greece"
Best Gyro Ever!,"Stop here for a gyro - it's the best we have ever had and they put french fries in the middle. It's super packed, but service is fast. You won't be disappointed!",Date of visit: June 2017,Lucky's Souvlakis,4,"Santorini, Greece"
Once in a lifetime experience!!,"What a wonderful authentic Santorini finishing trip - perfect for both couples and families! You start the trip at the marina (transport to and from your hotel is an option) and then sail out to empty the traps first. We had a ton of shrimp and even a huge star fish (which we threw back in)!Then you go to another spot and start pulling in the nets. You can be as hands on as you'd like, but there is no pressure! My husband helped with the cages and I helped untangle the fish. Anthi and the crew's knowledge of all the different fish is fascinating and their respect for the ocean is admirable.

The crew cooks up the fresh catch for dinner and you can either help them prepare, go for a swim or both! They also have fishing rods and hand reels to try out. It was my first time with a rod and reel and I caught so many fish! I even hooked an octopus!! The whole crew jumped over to try to help me, but he was too feisty (apparently catching an octopus with rod and reel is very rare). What a thrill it was though! The food was delicious and then we cruised around to watch the sunset. Such a wonderful and unique experience, highly recommend it! Thank you Anthi for everything :)",Date of experience: June 2017,Santorini Traditional Fishing Experience with transportation,4,"Santorini, Greece"
Great time exploring Santorini!,"This is the second time that my husband and I have been to Santorini. We wanted a tour that would tailor to the things we had not yet seen. Our guide and driver did just that! At the start of the trip our guide asked what we'd like to do and then made sure they went above and beyond. We saw the lighthouse, monastery, the hiking trail, an old castle, a winery and also made little pit stops along the way. Five hours flew by! It was filled with fun and interesting facts and good humor. I would definitely book again!",Date of experience: June 2017,Santorini Day Tours by Dimitris P.,4,"Santorini, Greece"
Lovely Honeymoon Stay,"My husband and I stayed here for two nights in June on our honeymoon and had a wonderful time! The front of the building is gorgeous with all of the vines and flowers, which our windows overlooked (we stayed on the second floor, room 202 - Richard Meier Deluxe Room). The bed was comfortable (memory foam), plenty of space and the bathroom impressive (soaker tub with a separate two person shower). Good AC as well and complimentary water upon arrival. The location was fabulous, within walking distance to the Trevi Fountain, Pantheon, Colosseum and Spanish Steps. It is about a 10 minute (7 euro) cab ride to Vatican City, but could be walked in 30 minutes. It was 95 degrees so we took the cab. The breakfast buffet was perfect. The freshly squeezed orange juice was a delight and the assortment varied (eggs, pancetta, French toast, pastries, yogurt, fruit, cereal, etc.). The restaurant upstairs was good, but a tad pricey. Keep in mind that it is vegetarian only. Service overall was good and they even sent us a complimentary bottle of Prosseco with macaroons to celebrate our honeymoon. Lastly, we enjoyed the artwork that decorated the hotel and clean feeling. We would stay here again!",Date of stay: June 2017,Bio Hotel Raphael - Relais Chateaux,4,"Rome, Italy"
Lovely start to our honeymoon!,"What a wonderful hotel! My husband and I stayed here two nights as the start of our honeymoon. We booked their honeymoon package and were not disappointed! Upon arrival they upgraded us and we walked in with rose petals on the bed. Breakfast was included, nothing extradorinaiy, but got us going for the day (eggs, pastries, cold cuts, etc.). The package also included a gondola ride which met off their private pier. This was a lovely 30 minute ride and nice way to get aquatinted with the city. There was no wait and we picked the time. We saw other gondola stations throughout Venice and it was complete chaos! We also had a complimentary meal at Atinoos, the food was beyond amazing! Great choice by our hotel and included a shuttle service (although I suggest walking back as the views are lovely). The location is perfect, about a 15 minute walk to St. Mark's square. Honestly, roaming the streets and getting lost is the best part of Venice! Overall service was fantastic and the hotel itself very clean. If you want a spot right on the Grand Canal then look no further!",Date of stay: June 2017,Sina Palazzo Sant'Angelo,4,"Venice, Italy"
Learned so much!!,"Our tour with Chiara was wonderful, it was of the Roman Forum and the Colosseum. It was certainly a hot day, but she made sure to find as much shade and fountains as possible to ensure our comfort. We also learned a lot. It was interesting to see the Roman Forum and Collosium (or as we learned Flavian Amphitheater) come to life through her stories, pictures and books. Her knowledge was fantastic and she was able to answer our questions with a commendable level of patience. Thank you Chiara!",Date of experience: June 2017,LivItaly Tours,4,"Rome, Italy"
