reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
A must visit,"In our opinion, this must be the best place in Sidmouth for breakfast. Very tasty food, beautifully presented. Lots of choice for those that have gluten and dairy intolerance like me. They also have a good selection of cakes but we didn’t get to try them - too full up!",Date of visit: August 2020,Milsons Point Café,1,"Sidmouth, United Kingdom"
We ate here three times in one week,"We ate here three times during our week’s holiday. The food is lovely and we had most things on the menu. Yes, it’s served in cartons with wooden cutlery, but we found this made it more fun. The serving staff are friendly and really helpful. We would recommend it highly to anyone visiting Sidmouth.",Date of visit: August 2020,The Pea Green Boat Restaurant,1,"Sidmouth, United Kingdom"
Came here as had read that,"Came here as had read that they offered a good gluten free selection. Although GF scones were not on the winter menu, a couple of delicious warm ones magically appeared along with some lovely jam. The chap serving even went down the road to buy some clotted cream to go with them. My husband had the cheese platter which he thoroughly enjoyed. The coffee was delicious too. So friendly and helpful here. Wonderful!",Date of visit: February 2020,The Cornish Deli,1,"St Ives, United Kingdom"
Excellent,"My husband and I visited for the Heroes of Voyager wine tasting and four course meal. The young man who introduced us to the wines, we believe his name is Adam, was helpful and informative. The restaurant staff were again friendly and informative. The chef, Sandi, did and amazing job adapting the menu to suit my wheat and dairy intolerance. The food, wine and service was amazing. The venue is so pretty and much nicer than the very large, more commercial, wineries we have visited.",Date of visit: October 2019,Voyager Estate,1,"Margaret River, Australia"
Excellent,"We’d had a busy few weeks prior to arriving in Perth so a gentle cruise along the Swan River was perfect. Tea/coffee and muffins on arrival. My husband said the chocolate one was delicious. Four samples of wine with a cheese board. Informative commentary as we sailed along the river. Even saw dolphins. Tour of the Sandalford Winery with knowledgeable guide. Wine flight tasting before an excellent two course lunch with a glass of your favourite wine. Cakes and coffee on return to boat.
All staff very friendly and accommodating. Great background music all day complemented by Lauren singing beautifully on the return journey. All this and it was 32 degrees. Perfect day for my husband’s 60th birthday.",Date of experience: October 2019,Captain Cook Cruises,1,"Perth, Australia"
Lovely little restaurant,"Read the reviews of this place and, as it was very near to the hotel, thought we’d give it a try. Don’t be put off by the access up a metal staircase. A little shabby inside but the welcome is great. Two large tables to seat all guests so you get to know the other diners which is great. Choose what drink you want and the size, and that determines the price. Simple. All diners eat the same food which is freshly cooked and delicious. As a couple we had a large salad, 12 gyoza, chicken stir fry, vegetables cooked with pork, and my husband had the pancake with ice cream and maple syrup. We didn’t need seconds although they were offered. We did have the largest G&T in the world!",Date of visit: October 2019,Spiral Staircase,1,"Narita, Japan"
Expensive but convenient,"Had a double room on the 25th floor looking out toward Umeda Building, so great view. Stayed for three nights with two large suitcases as we were staying away from home for some time but there was nowhere to put them out of the way. Very little wardrobe space - about 60cms wide at the most. Room clean and comfortable. Bathroom well equipped. Staff helpful. Lots of choice at breakfast for ‘normal’ eaters but struggled as a person with wheat and dairy intolerance.
No GF bread - and none at any of the other three hotels we have stayed at. No milk alternatives. The staff did prepare me a GF and dairy free breakfast but I was given the same thing three days running - see pic. I don’t like eggs so that added to the problem. On the positive side, very convenient for the station as actually above it. Hundreds of shops and eating places around.",Date of stay: September 2019,Hotel Granvia Osaka,1,"Osaka, Japan"
Fantastic,"Visiting Japan for the first time during the Rugby World Cup, we went to the studios primarily to see the Harry Potter section. I was absolutely thrilled and felt as excited as a six year despite being 60! Screamed on the little roller coaster ride but went on the Forbidden Journey ride twice as we thought it was absolutely brilliant. The whole recreation of the Harry Potter world was phenomenal. Bit out of touch with some of the more modern movies represented at the park. Did not like the big rides so didn’t go on them. We didn’t enjoy the Area 51 experience at all and felt it to be a little daft. Overall though, well worth the money.",Date of experience: September 2019,Universal Studios Japan 1 Day Pass,1,"Osaka, Japan"
Great food,"We stayed at the hotel twice as part of our golden triangle trip. The restaurant staff are really helpful. As a person who cannot tolerate wheat and dairy, I had found the whole trip quite difficult with regards to food choices. However, this restaurant provided a good choice at breakfast and, in the evening, the chefs created dishes that I could eat and enjoy. Thank you in particular to Ajay who cooked the lamb chop dish for me. It was delicious.",Date of visit: September 2019,Ssence,1,"New Delhi, India"
"Good, plentiful food",Visited for the first time with a group of friends. They had the set menu which they really enjoyed and the portions were huge. I chose separate items as I have a wheat and dairy intolerance. The waiter was extremely helpful when I was making my choices. Everything was delicious. Will definitely visit again.,Date of visit: September 2019,Istanbul Grill,1,"Bromley, United Kingdom"
