reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Dreadful!!!!!!,"Went there for a late lunch/early dinner on 21/6, wish we hadn’t. We asked what was the special of the day and we were informed it was the “lamb in lemon sauce”. So we ordered the special and meatballs in a spicy tomato sauce. It wasn’t busy and there wasn’t any music playing so when you hear the microwave ping it’s a bad sign. My partner even saw the lady removing the special of the day from the microwave. Meatballs were tasty enough but the spicy tomato sauce was non existent. The lamb was dreadful, a plate full of bones and gristle swimming in an oily soup which didn’t taste anything like Lemmon sauce. Give this place a wide berth. Both dishes came out of the microwave. Shameful!!!!!!!!",Date of visit: June 2019,Asteria,1,"Amorgos, Greece"
Lovely Apartment.,"We stayed here in room no.1 for 4 nights from 11-15 June and were very happy. Probably the biggest and best bed I’ve ever slept on in Greece, it was huge, very comfortable and the Guy Laroche bedding was a nice touch. Kitchen corner was small but worked out ok, large fridge freezer and a really good oven if you want to cook. The bathroom has definitely been refurbished for this season and was lovely. There’s a shared patio area outside which is nice. It’s only 2 minutes walk to the port and Maria the owner is very friendly. I wish we could have stayed longer. Good value and highly recommended.",Date of stay: June 2018,Milos Apartment,1,"Milos, Greece"
"What an amazing day, thank you so much.","For years and years I’ve been visiting the Greek islands and have wanted to go out on a traditional fishing boat. When I saw this trip and read the reviews I knew I wanted to go and it didn’t disappoint. What an amazing day we had. Captain Nikos and his wife Frossa are such a lovely couple and helped by the hardworking Simos they gave us a day that we will never forget. I’ve never eaten so much fresh fish in my life. The fish soup was amazing. Fridge full of beers, wine, ouzo, soft drinks etc. All the food was great and the desert from Frossa was so good I wasn’t embarrassed to lick my plate. We were made to feel like family from the moment we stepped aboard. I can’t speak highly enough about this trip and Captain Nikos, what a great guy. Visited some beautiful locations along the way. I just wish I had time to go again. Hopefully next year. If you come to Milos you have to go on this trip, you won’t be disappointed. Thank you so much Nikos and Frossa.",Date of experience: June 2018,Milos Fishing Experience,1,"Milos, Greece"
We loved La Luna.,"Stayed at the La Luna for 3 nights from 2nd - 5th June and had a great time. Fantastic location with lovely hosts Maria and her son Andreas. We stayed in room 15 and the view from the terrace was great, just be careful of your head when you go from the room to the terrace. Quite a small double bed, but not complying and a great bathroom, shower was lovely. Thanks very much to Andreas for numerous lifts to and from the port and the restaurant tips. Was surprised to find a great fully equipped communal kitchen that I didn’t read about on booking.com. Would definitely stay here again and recommend to anyone looking for accommodation in Chora.",Date of stay: June 2018,Pension La Luna,1,"Ios, Greece"
Yummy Yummy!!!!!,"Right next to the square in Chora, open from lunchtime until the early hours of the morning. Great chicken gyros pitta for €2.50, I couldn’t get enough of them. My partner preferred to eat the Tuna Crepe which were absolutely delicious. Adonis and his Sister Evi and all of his team were so nice and friendly. Highly recommended. They also deliver free of charge.",Date of visit: June 2018,Yummy,1,"Ios, Greece"
It wasn’t great.,"We visited for lunch Monday 4/6, ordered the Meatballs and a Tuna Salad. The owner was a bit grumpy and mumbling to himself in Greek which my intuition should have told us not to bother. The meatballs were very dry and bland and it tasted like they were fried in old oil. The Tuna Salad came to the table as a Chefs Salad, but was replaced and to be fair was nice. Nice location in the port but I wouldn’t recommend it.",Date of visit: June 2018,Akrogiali,1,"Ios, Greece"
Great Value.,We stayed here from 26/5 to 02/06 and we were very happy. Less than 5 minutes walk to the port and only 30 seconds from Agios Georgios beach. Thanks to Vaggelis for looking after us and his local recommendations. Stayed in Room 1 which was always nice and clean. Would stay here again and recommend it to others.,Date of stay: June 2018,Alpha Studios,1,"Naxos, Greece"
€4 for nothing!!!!!,"Visited this morning Sunday 3/6. I know it’s an amazing historical site, about 4,500 years old but don’t buy a ticket to go in. It costs €4 but you only get to see a tiny portion of it, about 60 meters from the entrance and that’s it!!!! There are 3 signs giving a brief description and the cashier stood watching us during our entire visit to make sure we stayed within the tiny boundary which was uncomfortable. Very little to see at all. The cashier knew we were going to complain when we left and was already prepared with answers. It appears everyone complains. Shame on the Greek Ministry of Culture for charging €4 per person to see this. My advice would be to walk up the hill of Ios Chora and look down on it. Or if you’re feeling naughty, go on a Monday when it’s closed, sneak over the small wall and view it for free. Felt like I’d been ripped off. Save your money and visit Delos instead, much more interesting.",Date of experience: June 2018,Archaeological Site of Skarkos,1,"Ios, Greece"
Magic Morfoula’s,"Stayed for 3 nights 23-26 May. Great value accommodation in a lovely location only 2 minutes walk to old town. Very friendly family run business. Mrs Morfoula was lovely and very helpful with recommendations. Her son Vaggelis is a star, picked us up from the airport and dropped us off at the new port. Our room (number 4) was great, cleaned daily, great views. I would highly recommend staying here if you visit Mykonos.",Date of stay: May 2018,Morfoula's Studios,1,"Mykonos, Greece"
Still the best Gyros and Souvlaki in Greece.,Without doubt my favourite Gyros in Greece. I just can’t get enough. Super tasty and good value. You have to try one if you’re in Naxos.,Date of visit: May 2018,Yasouvlaki Naxos,1,"Naxos, Greece"
Delightful old bakery.,"You have to try this place if you’re in Mykonos, it’s a real gem. Lovely atmosphere, great cakes and coffee but the highlight for me was the chicken pie, absolutely delicious!!",Date of visit: May 2018,Gioras Wood Medieval Mykonian Bakery,1,"Mykonos, Greece"
Awful Gyros Pita.,"I was walking by and saw it was packed with locals which is usually a good sign so I popped in for a takeaway Chicken Gyros Pita. It was awful. Always a bad sign when they don’t freshly carve the meat and just take the lid off a tin of previously carved. It was dry, literally two slices of chicken, I slice of tomato, a few bits of onion and tzatziki. I know Mykonos is more expensive than other islands but €3.70 for that was disgraceful!!!! Don’t go here for a Gyros!!!!",Date of visit: May 2018,Snack Bar Fanis,1,"Mykonos, Greece"
