reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
recommended,The benefit of visiting Venice during the pandemic was the minimal queues for attractions. We waited less than 10 minutes for the elevator ride to the top and there were limited numbers of people admiring the views. As expected the views are stunning and the 10 euro entrance fee wasn't unreasonable.,Date of experience: September 2020,Campanile di San Marco,1,"Venice, Italy"
Highly recommended,We spent 4 nights at the Saturnia and would return in a heartbeat. The location in unbeatable and every member of staff we came into contact with was helpful and courteous. The courtyard location for breakfast was a great way to start the day and the roof top terrace a great place to return to before heading out for the evening.,Date of stay: September 2020,Hotel Saturnia & International,1,"Venice, Italy"
Great night out,We visited as a group of 7 and had a fantastic evening. Six of us chose the fillet steak or chateau briand and the other had chicken cordon bleu. Portions were generous and the meat cooked beautifully. The customer service is unbeatable with friendly staff who enjoy a laugh and a joke. We’ll be back!!,Date of visit: February 2020,Restaurante Camel,1,"Lanzarote, Spain"
Highly recommended!,We ate here as a group of five last night and really enjoyed ourselves. Four of us opted for the set menu which is great value at €14.95. One of our group chose a chicken dhansak which wasn’t part of the set menu but the waitress offered to include it as part of the deal. The food was tasty with generous portion sizes. The waitress was very friendly and helpful. Highly recommended!,Date of visit: February 2020,Flavours,1,"Lanzarote, Spain"
Impressive,We rode around the park on our motorbike having watched the video in the visitors centre first. The Union and Confederate lines are clearly identified with helpful signage. The highlights for us were the USS Cairo and visitors centre and the cemetery - very poignant.,Date of experience: May 2019,Vicksburg National Military Park,1,"Vicksburg, Mississippi"
Avoid,"we were booked as part of a group and were apprehensive as we had read the reviews before we travelled however were reassured by our tour leader that there had been several conversations with the manager and we would be allocated refurbished rooms. This wasn't the case. Check in was chaotic and the rooms were awful - cigarette holes on the bedcover, cockroaches in the bathroom, curtain hems held up by paper clips, beds that looked as if they' d been slept in and no towels. The member of staff on reception didn't have access to the cupboard where the towels were stored. We voted with our feet and didn't stay and moved to another hotel.",Date of stay: May 2019,Days Inn & Suites by Wyndham Vicksburg,1,"Vicksburg, Mississippi"
Worth visiting,"We spent a lovely day in Assos. The road down is fairly narrow and winding but we didn't encounter much traffic coming in the other direction so it was fine. As other reviews have said, parking isn't easy so it's worth parking as soon as you see a space as the two parking areas in the centre get filled very quickly. The walk up to the top of the old Venetian fort gives stunning views over the town. The wide paved path is 400m longer than the other path that is signposted but is easier to walk on. Take water with you!",Date of experience: September 2019,Assos,1,"Cephalonia, Greece"
delicious food in a beautiful setting,we ate here twice whilst staying nearby. Staff are attentive and the setting is beautiful with a touch of luxury. The views at sunset are stunning. Food is delicious - I had the pork and green peppers on the first visit and the souvlaki on the second.,Date of visit: September 2019,AMMES taverna,1,"Cephalonia, Greece"
A must for cheesecake fans!,We were recommended to try Kastro by two other couples we met on holiday. The specials menu had a list of mouthwatering cheesecakes and we opted for the Black Forest cheesecake on the recommendation of others. It was delicious! The setting is beautiful and staff very friendly. We'd happily return for a meal.,Date of visit: September 2019,Kastro Cafe,1,"Cephalonia, Greece"
Our favourite day of our holiday,"We had a fantastic day with Antonia and Michalis on board their working fishing boat. We met at 8am and were welcomed with Greek coffee and cake and a chance to chat to the other members of the group. Two couples had taken the trip previously which was a good sign. Having set sail we then watched the 2km of nets being brought in with the opportunity to help if you wanted to. There was a great mixture of fish including red mullet, German fish, scorpion fish, cuttle fish and a slipper lobster. We sailed to a cove only accessible by boat and swam in the clear waters whilst Antonia prepared lunch. A Greek bruschetta laden with fresh vegetables was a tasty appetiser whilst we waited for the main course of seafood spaghetti, a huge platter of the fish caught earlier on and huge bowls of salad all washed down with the family's own wine. Antonia Kindly filleted the fish for those of us who were slightly squeamish about eyes and bones! A platter of fresh fruit finished off the meal before we filed back to the marina at 4pm. At 60 euros per person the day represented great value. We'd book again if we return to Kefalonia.
Thank you!",Date of experience: September 2019,Fishing Tourism Kefalonia Michalis,1,"Cephalonia, Greece"
