reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great coffee and cake,What a selection of cakes and with great staff serving you' this place is a real find. Loved the spiced apple cake.,Date of visit: February 2020,The Black Faced Sheep Coffee Shop & Emporium,4,"Aboyne, United Kingdom"
Weekend away,"Had a great weekend away here and found staff to be very helpful, food was lovely and had a lovely room looking on to the river.",Date of visit: February 2020,The Boat Inn Restaurant,4,"Aboyne, United Kingdom"
Untreated steak,"Lovely chateaubriand and wine to match, lovely place to eat in and enjoyed everything we had. They have a great chef's table if you enjoy watching a chef at work.",Date of visit: November 2019,Bistro du Vin,4,"Edinburgh, United Kingdom"
Edinburgh stay,"Visited Edinburgh last week and stayed over here. We were upgraded to a lovely suite and all the staff were welcoming making sure you were enjoying your stay. Breakfast was great.
We had a good meal on the night of arriving and enjoyed a great meal.
The courtyard was beautifully lit and lovely to sit out and have a drink in.",Date of stay: November 2019,Hotel du Vin & Bistro,4,"Edinburgh, United Kingdom"
Sunset over Ois,"Had a great evening in Oia, enjoyed dinner as the sun disappeared beyond the horizon, it is very busy but well worth the trip",Date of experience: February 2019,Sunset in Oia,4,"Santorini, Greece"
Cruise into sunset,"What a way to spend a night out on the water with sun setting through the sails of the boat. Comfortable sailing, well served drink and wine well worth going out",Date of experience: July 2019,Bella Aurora & Thalassa,4,"Santorini, Greece"
Night out with family,"Great time out with family, Nova Scotia is such a great place to visit. Great people serving fresh food with wide range of local beers and great wines.",Date of visit: June 2019,Salty's,4,"Halifax, Canada"
Birthday,"Great meal out a classy place, staff all very professional and welcoming, even showed my daughter around the",Date of visit: October 2019,Le Gavroche,4,"London, United Kingdom"
Saturday lunch,"You can have a real value lunch here or go all out with the A La Carte and this was a treat so happy to say the ALC is fantastic, lovely food and wine an will return. Staff happy to offer advice on wine pairing and they are have a knack of leaving you alone when required but know when to look after you. Will be happy to go back.",Date of visit: November 2019,Ondine,4,"Edinburgh, United Kingdom"
Friday lunch,"Visited on 15th Nov and what a treat, lovely wine (many by the glass) and lovely food. Service was well informed and staff happy to share their knowledge and make recommendations. Each time I have visited I have always enjoyed and it is a lovely setting to be in.",Date of visit: November 2019,Le Di-Vin Winebar,4,"Edinburgh, United Kingdom"
Early morning stroll,When the sun is over the Necropolis it is a lovely place for a walk. If you are lucky you may even see some young deer. The views over Glasgow are beautiful as well.,Date of experience: August 2019,The Necropolis,4,"Glasgow, United Kingdom"
