reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Great bacon sandwich!,Super little coffee shop with great service and a super menu to choose from. The coffee is great and the bacon sandwiches are scrummy.,Date of visit: January 2020,Bradleys Coffee Shop,1,"Anglesey, United Kingdom"
Going downhill,We have always loved this fish and chip shop and have rated it the best on the island but queued three times recently only to be told that they have no haddock!! It is bad enough once but a notice on the counter or on the door advising that they have no haddock would have saved time and tempers. Very disappointing,Date of visit: January 2020,The Golden Fry,1,"Anglesey, United Kingdom"
Kebab delight!,"We had a meal to celebrate my daughters birthday before going to a concert at Parr Hall . The oysters were a melt in the mouth delight and the prawn and calamari in tempura batter disappeared with gusto. Two of us ordered the teriyaki fish kebab and the other ordered scallops. The kebabs were eaten with relish and the scallops were large, meaty and cooked to perfection. The staff are friendly, discreetly attentive. I would thoroughly recommend this to couples and groups alike.",Date of visit: November 2019,The Grill on the Square,1,"Warrington, United Kingdom"
A magical day!,"An absolute must for anyone visiting Kephalonia even if you are not into fishing! Efi, Dimitrios and Mohammed are fantastic people who went out of their way to make every part of our trip enjoyable. Greeted with coffee, tea and pastries we set off to sail down the coast. We watched the hauling in of the fishing nets and the preparation of the fish, drinking refreshing tasty home made lemonade. We then had a swim in a beautiful bay before sailing further down the coast for another swim whilst Efi cooked the fish and prepared lunch. The highlight of this second swim was dipping into a pool of clay at the end of the beach and covering ourselves in this elixir of youth!! We all swore we looked 10 years younger afterwards!!! The very best part of the day came with the consumption of beautifully cooked fish with salad, potatoes and bread washed down with really good home made red wine, bliss on a plate! The company was really convivial and it made for one of the best days of our holiday.",Date of experience: September 2019,Fishing Tourism Kefalonia Dimitrios-Efthimia,1,"Cephalonia, Greece"
Brilliant place to stay!,"What an absolutely great place to stay. Very quiet location but central for getting around the island with lovely gardens to relax in, very well maintained and plenty of parking. The hygiene is second to none with linen changed every couple of days and washing machine and washing line provided for guests use. Grigoris is the most delightful friendly host who greets all guests on arrival and is there each morning and evening so if there are any problems (we had none) he can sort them out. He was very helpful with advice on which beaches were close and how to get to various attractions of the island. If and when we return to Kephalonia we will book into this lovely place once more.",Date of stay: September 2019,Dina Apartments - One Bedroom Apartment,1,"Cephalonia, Greece"
Hard work pays off!,This is a great place to visit and see the ongoing work which is being carried out to bring this ruin back from the brink! The hard work that is going into this restoration is amazing.,Date of experience: May 2019,Gwrych Castle,1,"Abergele, United Kingdom"
Coffee bliss!!,The coffee here is the best by miles! The toasties are great and good value and the staff are really pleasant. Well worth a visit.,Date of visit: June 2019,The Plantation Coffee Shop,1,"Abergele, United Kingdom"
Coffee catastrophe!,"Well I suppose once you have been to one outlet they all seem the same but at least we had heard the cafe had good food so we thought we would give it a try. The place is pleasant enough and the food we had was really good but if you want a decent cup of coffee don't bother here! Hot brown water was the best way to describe what came out of the machine, not good enough in this day and age, how difficult can it be to provide decent coffee?",Date of experience: June 2019,Tweedmill Shopping Outlet,1,"St. Asaph, United Kingdom"
Heaven on a Plate.,"This was our first visit to Sosban and it didn't disappoint. Just when you thought that it couldn't get any better, it did! The Wagyu beef course was simply divine and I am not a lover of ice cream but the ice cream lollipop with dark chocolate was scrumptious. The bottle of red Pinna Fidelis was such a good accompaniment to the meal. We will return!!",Date of visit: June 2019,Sosban and The Old Butchers Restaurant,1,"Anglesey, United Kingdom"
NOW that takes the biscuit!!,"Having been to Jollys a few times with my husband and enjoyed it I popped in for a coffee and decided to have a shortbread biscuit. When I came to pay my bill was £5,15 which was £2.20 for the coffee and £2.75 for the biscuit. I said to the delightful lady that had served me that I felt that the biscuit was overpriced and I would not be visiting again and that I would certainly be putting it on tripadvisor. The manager turned round and said I was rude and that the prices had nothing to do with them. She also said that she had handed her notice in due to the abuse she had had from customers over the prices. I was not rude or abusive, it is not in my nature, but I do not like being ripped off and wanted the message passed on to the owners. I was offered a refund but as I had eaten the biscuit and not asked the price before I ordered I said no thank you but will not returning. There are plenty of others places to go in Beaumaris and I would suggest people try them instead.",Date of visit: September 2018,Jollys,1,"Anglesey, United Kingdom"
