reviewTitle,reviewDetails,reviewDate,reviewFor,reviewRating,reviewLocation
"Gutted, not what I expected","Gutted, not what I expected at all! Read so many reviews on the Wigan food reviews group that I was really looking forward to visiting. Had the 2 course Sunday lunch- garlic mushrooms and the Sunday lunch burger. The mushrooms were ok, the ‘burger’ was terrible. Said it came with a Yorkshire pudding ‘bun’ I at least expected it to be a hone made Yorkshire- they were frozen. The burger was dry, the roasties rubbery and the cabbage was the most disgusting thing I’ve ever put in my mouth. I don’t understand why they would put a mixture of spices on veg that’s for a roast. I never leave food but I left quite a lot on that plate. I’ll stick with the old band house for a decent roast in future as they’re outstanding there! We all left rather disappointed if I’m honest.",Date of visit: September 2020,Marty's Kitchen & Bar,1,"Wigan, United Kingdom"
Fabulous day out!,"We had such a fantastic time Yesterday! We arrived early and my partner messaged him
To say we were there so he came early to save us waiting. The captain was kind and patient, especially with me as I won’t ever make a pro fisher! But we had so much fun- even when we caught the puffer fish which was a pleasure to see! Ironically I won’t go in the sea because I’m
Scared of fish touching my feet but my partner and the kids loved going for their swim! The food made for us was so fresh and cooked to perfection! We had such a lovely day. Thank you so much! I would most certainly book this trip again, even if I am crap at fishing ha ha!",Date of experience: August 2020,Captain Manolis Fishing Trips in Rhodes,1,"Rhodes, Greece"
High energy brilliance,Took the kids for a Christmas surprise. We loved this show from start to finish! Even though we were exhausted I was fully engaged. Cracking theatre too! Was very comfortable in the cheap seats which we aren’t always!,Date of experience: December 2019,School Of Rock The Musical,1,"London, United Kingdom"
A true gem!,"Absolutely outstanding! We found this little hidden treasure on the meerkat app when we were out and about in London. Having never eaten this style of food before I was slightly dubious, I didn’t need to be whatsoever. It’s like a tardis as it looks tiny from the front. It’s like taking a step in to Morocco though. It was wonderful, the atmosphere fantastic and the food and service outstanding. I was that full I thought I would burst, but, I couldn’t stop eating! The staff are brilliant, the food wonderful, and My family loved every minute of it! I wouldn’t hesitate to recommend it!",Date of visit: December 2019,Souk,1,"London, United Kingdom"
Really lovely,"Beautiful views, nice atmosphere, spent a lovely few hours in this quaint little town. The views of the acropolis at night were wonderful! I would say if mobility is an issue to give it a miss tho due to the steep hills",Date of experience: August 2019,Village of Lindos,1,"Rhodes, Greece"
Just wonderful,"What can I say?
The food
The views
The atmosphere

All just wonderful! We had a more expensive meal in Rhodes and it wasn’t half as good as the one we had there!
I’d highly recommend it!!",Date of visit: August 2019,Mythos All Day Restaurant,1,"Rhodes, Greece"
Absolutely fantastic,"I’ll be honest, for what we paid I wasn’t expecting anything special, however, I have never felt as welcomed in any accommodation I’ve ever stayed in in any part of the world. From that first impression I knew we were going to have a wonderful time.
Yes, it may not be the ritz, but it’s clean and in good working order (but for a thousand quid for 4 people in August what can be expected, I’ve stayed in far worse and paid a hell of a lot more believe me!)
I didn’t feel like I was staying in an apartment block, I felt like it was a little community. The atmosphere was wonderful, all the kids played together and I felt like my belongings were safe which is important to me. I thought I worked hard but by jingo, Marietta and her family never stop!
If you’re wanting to stay somewhere that is crazy and lively then pastida isn’t for you, we loved it! The 2nd gyros place is absolutely fantastic and their hummus (which I wasn’t a huge fan of) is absolutely amazing!
I would however recommend you get a car for a few days. We went to the beach, lindos, Rhodes and lardos (for b&b beers and burgers which I would highly recommend as they do a cracking deal). It’s about a 20 min drive to falaraki.
The Greek night in the hotel was fantastic so would recommend that!
All in all, I would highly recommend this place to stay, the hospitality is 2nd to none! A true gem! We have tried to find availability for my boyfriend’s dad to no avail sadly!
Thanks so much Marietta! We loved it! I can’t understand people’s complaints!",Date of stay: August 2019,Marietta Hotel Apartments,1,"Rhodes, Greece"
Ace!,"Was recommended this place by a few people. Wasn’t disappointed! Despite being crazy busy, the service was bang on! Dead quick!
Only issue I had was I ordered a latte at the end of my meal and it arrived with no tea spoon so I asked for one and the lad said they had ran out and was a knife ok to stir it with, next moment, the other waiter brought us one. Was a bit awkward like!
On the whole id go again",Date of visit: April 2019,Salvo's,1,"Headingley, United Kingdom"
Grear,"Stayed here for a night with my boyfriend so we could have a kid& dog free night. Few drinks, nice meal etc, and loved it.
A few days before our stay I got an email asking if we’d like to upgrade so we did.
Had the most dreadful nights sleep as it felt like we were sleeping on a slant, so mentioned it at reception when I went to pay for the upgrade so had it waived but on closer inspection the bed was a total wreck, a missing leg and broken frame abs the whole bed was propped up on the extra beds for the kids that were on the room.
I called reception so they didn’t think we had done it and it was checked. To my surprise the total cost of the stay was refunded without my asking.
It’s not the first time I’ve stayed here, and prob won’t be the last.
The new bar is fabulous, had a lovely atmosphere when the football was on. Well done village Leeds north, we were very happy campers! Great customer service!",Date of stay: April 2019,Village Hotel Leeds North,1,"Headingley, United Kingdom"
Fantastic,"Absolutely brilliant, fabulous hosts, apartments beautiful and clean with all the facilities that you would need. Do book the breakfast as Sylvie makes a wonderful one.
Fantastic location, I would definitely stay again!",Date of stay: February 2019,Badstrasse Apartments,1,"Berlin, Germany"
Perfect for the victoria warehouse,"Stayed here as we were going to Kendal
Calling at Victoria Warehouse on NYE. Couldn’t have been more perfect! Loved the hangover kit that was provided in the fridge- was just what we needed the next day.
Lined our stomach in the restaurant before we went out. Was ok and a bit expensive for what it was but did the job. Room was lovely with a view of Old Trafford which my son wasn’t happy about when I face timed him, the only problem I would say is that the shower was crap. It also flooded the whole bathroom as I washed my hair in it. I’ve got long thick hair so it clearly wasn’t made for girls like me. Had to spend ages drying the floor instead of getting ready for our night out.
I would stay there again tho",Date of stay: December 2018,Hotel Football Old Trafford,1,"Stretford, United Kingdom"
Used to be good this place,"Currently staying here and tho the facilities are clean I feel like this site is now run by a bunch of absolute authoritarians. I swear to god it’s easier being at work than dealing with these people. My kid can’t even do Leroy uppies without being told off. The kid is on HOLIDAY for Christ’s sake! I will never bring him back here again...nor will I stay here again EVER! It was a decent site, not anymore. Think the men in red have forgotten what it’s like to be a kid",Date of stay: July 2018,Scarborough Camping and Caravan Club,1,"Scarborough, United Kingdom"
Lovely place,"We stayed in a family swim up room for a week as my brother was getting married. I’ll be honest, there’s no way I’d not have a swim up if I was to go again, was worth the extra few hundred for the peace.
I hated the adult only sections as I’d paid for a full facility, not to be excluded for having a 13 year old, we felt it was rather discriminating when you have spent a lot of money.
Food was excellent mostly but stay away from the prawns as they made me violently ill. When reported to reception, the manager blamed it on me traveling and the ‘heat’. It was hotter in the UK and I travel a hell of a lot so them patronising me like this did my head in!!
Drinks... there’s a huge variety of cocktails etc. However I drink Bacardi, the real stuff, not generic white rum. They don’t serve real bacardi, they have it on show but I know it’s not the real stuff by taste. I ended up taking a hip flask to the bar every night!
The retreat salon, I was going to use for my brother’s wedding day for a curly blow, however, at €57 for a curly blow I ended up driving to San Antonio and paid the grand total of €18.50
Would I go again... deffo, although I most certainly wouldn’t eat the prawns!!",Date of stay: May 2018,Insotel Tarida Beach Sensatori Resort,1,"Ibiza, Spain"
