reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
A must!,This is one of the best meals that we had in Newfoundland in 2 weeks. The recipes rely on fresh healthy local ingredients combined in creative ways with interesting seasonings. It is plated beautifully showing the expertise of the chef. The waitstaff is professional and friendly- pacing the courses perfectly. To top it all off the views of the bay and minke whales from the restaurant are amazing. The whole experience was lovely and a highlight of our trip.,Date of visit: July 2019,Blue Ocean Dining Room at Bonne Bay Inn,4,"Woody Point, Canada"
Nice decor.,"Nice decor. Simple menu - burgers, fish, fries etc. Good service. Back deck. Evening music. Some tables some high tops.",Date of visit: July 2019,Merchant Warehouse Retro Cafe and Wine Bar,4,"Woody Point, Canada"
Fresh ingredients,This is a find! Order at the counter. Fresh healthy ingredients. Interesting panini combinations. Great coffee.,Date of visit: July 2019,The Old Store Cafe,4,"Norris Point, Canada"
Mediocre food...fast service,Service is attentive and quick but food is mediocre at best. Caters to large bus groups. Relies on processed and frozen foods. Lobster was over cooked.,Date of visit: July 2019,Shallow Bay Restaurant,4,"Cow Head, Canada"
Stay for the view,"We stayed in Cow Head because we wanted to go to the theater and explore this part of Gros Morne. Bayview Bed and Breakfast is part of the Shallow Bay Motel. You check in at Shallow Bay and have breakfast there. Bayview is a cottage with 4 units and a shared full kitchen. We stayed in a back unit that had a beautiful view of the water. There was a little deck (shared with the other 2 units) with a picnic table and you can walk down to the rocks by the water. There are sliding doors one of which is screened so you can open it and enjoy the sea breeze. The view of the sunset is lovely. The room, kitchen and shared space are very clean.
The room itself was disappointing. The room felt small and dark. The bed is full sized, soft and lumpy. The bathroom does not have any space to put anything especially by the sink. There was a coffee pot in the room but a note that if you needed more coffee pods you would have to pay for them...an oddity that we didn’t find anywhere else. Though they had WiFi, it was so weak in the room and restaurant that it was almost unusable.
For breakfast, you have to go to Shallow Bay. They host many bus tours. They do a good job of keeping private guests in a separate part of the restaurant and the wait staff is very attentive but the food is definitely meant to be efficient for large groups. There is a healthy choice - oatmeal, canned fruit, toast, coffee/tea or mixed grill- powdered scrambled eggs, sausage, bacon, frozen tater tots, coffee/tea —-no substitutions. It was disappointing. We had dinner here and the food was mediocre. The service was always fast and attentive. It was sort of like a chain restaurant.
The theater in this town is excellent- sophisticated and professional- so the town could definitely use a different type of restaurant- one that serves food that is fresher and more unique like they do at the Bonne Bay Inn.",Date of stay: July 2019,Bayview B&B,4,"Cow Head, Canada"
Top Notch,"We have been traveling through Newfoundland stopping in at local theater productions along the way. This was unlike the others. We saw Tempting Providence, the story of a local immigrant who became a treasured and respected nurse. It is performed in a tiny black box theater with minimal stage props in an innovative and moving presentation. Some parts made us laugh and others brought tears to our eyes. It left us wanting to know more about this real life hero. What more could you want from a theater experience? This production is so professional we could have seen it in any New York theater. If you have a chance, be sure you go to see it. It is a special night in a small town in the middle of a beautiful park.",Date of experience: July 2019,Theatre Newfoundland Labrador (TNL),4,"Cow Head, Canada"
Dinner and theater,Cute show interspersed between traditional music. You eat first and I ordered lobster so it was a little rushed. It is a nice way to spend an evening.,Date of experience: July 2019,Twillingate/NWI Dinner Theatre,4,"Twillingate, Canada"
Outside dining on a beautiful day.,This is a place to go if the weather is nice and you would like to eat outside on a little dock with great views. The food is okay but the scenery really makes it worth the trip.,Date of visit: July 2019,Doyle Sansome & Sons Lobster Pool,4,"Twillingate, Canada"
Great hiking trails,We hiked the numerous trails around the lighthouse and they led to several lovely coves. They are easy hikes. The exhibit on the Titanic that is in the lighthouse is very informative and moving.,Date of experience: July 2019,Long Point Lighthouse,4,"Twillingate, Canada"
Interesting,"There is interesting memorabilia from the family, a whale skeleton and several out buildings. You get a sense of the life of a fisher.",Date of experience: July 2019,Prime Berth Fishing Museum,4,"Twillingate, Canada"
"Convenient, clean, friendly","This is a lovely bed and breakfast. Thelma and her husband are very friendly and accommodating. They will help you with reservations, tips and ideas. We wanted to hike the top of Twillingate trail but they warned us that it was very wet and several people had slipped there so they made another safer suggestion. When we were leaving they called ahead to check on the iceberg that was in another town.
The inn itself is very clean and appears to be very new. The room was bright, large and airy. The bed was comfortable. The innkeepers have tried to think of everything you could need including hiking sticks, binoculars, umbrellas, coffee, tea and treats in the common area along with a refrigerator for everyone to use. After a hot breakfast, you get two homemade muffins to take with you for the day.Three unique things are -1) You can’t wear your shoes in the inn- they must be left on a shelf in the front hall. 2) Breakfast is at 8:00. Everyone eats together at common tables. Everyone eats the same thing. There is variety. 3) Your room gets cleaned if you request/want it.
I would definitely stay hear again.",Date of stay: July 2019,Iceberg Alley Bed & Breakfast,4,"Twillingate, Canada"
Church,The guides are very informative.The church is beautiful. A quick 1/2 hour will be very productive and interesting.,Date of experience: July 2019,Basilica Cathedral of St. John the Baptist,4,"St. John's, Canada"
Cold but fun,Dress warmly because it is really windy here. The trails are beautiful and those around the lighthouse are easy.,Date of experience: July 2019,Cape Spear Lighthouse National Historic Site,4,"St. John's, Canada"
Good in a pinch,"The food was okay. Our fried clams were burnt to a crisp. They did refund the money. Many things were not available. Waitstaff is friendly but unprofessional- chatting loudly with each other by the bar, never checking to see if everything is okay once the food is served.",Date of visit: July 2019,The Celtic Hearth,4,"St. John's, Canada"
Gluten free,"Very professional service. Food was creative, interesting and delicious. Many Gluten free and vegan options.",Date of visit: July 2019,Evoo,4,"St. John's, Canada"
