reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
"It’s a beautiful setting,","It’s a beautiful setting, a stylish great restaurant with good service, we had the fillet steak, the salmon and the duck... all were a bit dull and lacked seasoning which were a real shame. For the price we would have expected better, the front of house is spot on but the kitchen really let them down.",Date of visit: August 2020,Summer House,1,"Perranporth, United Kingdom"
Sitting outside in one of,"Sitting outside in one of the beach huts we found the food excellent!! We had a wrap, chicken topped nachos and a ploughman’s and they were all well proportioned, reasonably priced and incredibly good! The service is very good too.",Date of visit: August 2020,The Tywarnhayle Inn,1,"Perranporth, United Kingdom"
World’s smallest 6oz burger!,"I know under COVID we all make allowances and try to support local businesses, but... when you have to ask if they have sent a child’s burger instead of the £11.50 6oz burger with an extra £1.50 processed cheese slice and the waiters reply was... “I know...you should see the fish and chips..”

For your information, the tomato at the front was a small cherry tomato and the bun was the size of a MacDonalds happy meal.

Eat out to help out should not mean 50% smaller meals.",Date of visit: August 2020,Fort Inn,1,"Newquay, United Kingdom"
Hygiene..... no stars.,"Wanted to try this place for a while after reading reviews. The staff member clearing tables and pushing the waste down in the bin then served food to customers. We watched him do it repeatedly whilst queuing to order. After the fourth time we walked out. The guys in the kitchen maybe wearing gloves but hygiene front of house is just as important!! Will not be going back!!
Very disappointed.",Date of visit: July 2019,German Doner Kebab - Preston,1,"Preston, United Kingdom"
Portreath’s best kept secret.,"I’m a coffee addict, you could say a coffee snob... but damn this little cafe built into the sea wall with picnic benches overlooking the beach serves some of the best fresh coffee I’ve had all week! The breakfast butties are pretty special too. If you get chance to stop here for an hour to watch the waves and have a cuppa it is well worth the effort! Enjoy!",Date of visit: June 2019,Portreath Beach Cafe,1,"Portreath, United Kingdom"
Excellent food and service,"Even on a busy, sunny Friday night they catered for our table of 12 brilliantly. The food... especially the fish and vegetarian options were incredibly good. It’s clean, good quality and very helpful service but book in advance if you can, otherwise you’ll be getting fish and chips from its takeaway... which is no bad thing because they are also the best we’ve ever had! Enjoy!",Date of visit: June 2019,The Atlantic Beach Cafe & Bar,1,"Portreath, United Kingdom"
Cheeky Lunch!!,"I don’t give praise easily. BUT... this is the most authentic Italian pizza I have had in the country. Even the starters were simply delicious. And the service is second to none!!

I cannot believe a place as good as this exists just down the road!!!",Date of visit: April 2019,Farina & Co. Catterall,1,"Catterall, United Kingdom"
Symi Boat Trip Five Stars,"This has got to be one of the best value boat trips on Rhodes, a full day out for two adults and our daughter for 50€. The boat had plenty of space with a bar for the 2 hour trip to Symi... and what a beautiful place that is... set in the hillside, the multi coloured houses around the port is stunning... we wandered for three hours and had lunch in a taverna. The back on board to sail round to St. George’s Bay where had plenty of time to snorkel.... all in all a fabulous day with great friendly staff looking after you. Thanks guys!!!",Date of experience: May 2018,Half Price Tours,1,"Rhodes, Greece"
A real shame,"Over the years, I’ve stayed at the Sun on business and found the rooms to be fantastic. I liked it so much I brought my husband back for a wander around Lancaster and to stay in what was... my favourite place for a valentines treat. I guess my luck ran out. It was the smallest standard double I’ve ever had. The TV didn’t work and it was just all a bit tired and shabby. The staff are forever friendly and tried to fix the tv and the breakfast (which cost extra) was as good as always but I doubt I’d go back. Real shame, still my favourite pub in Lancaster though.",Date of stay: February 2018,The Sun Hotel & Bar,1,"Lancaster, United Kingdom"
My favourite restaurant in Preston by far...,"If you want a genuine Italian family restaurant, with really good quality food and not need a second mortgage this place is for you. It's not just the pizza and pasta that's great, the rump steak with gorgonzola (or Marino's house sauce if you are my husband) with fresh vegetables and amazing roast potato's (£12.50!), or the chicken ala crème, or the meatball's or the garlic bread - what ever you choose you will love. Just wear expandable pants or take the rest home.... It gets busy in the evenings so you are best booking, but my favourite time is a rainy Sunday afternoon...
We now go here more than anywhere else in Preston... so see you there!",Date of visit: January 2018,Marino's,1,"Preston, United Kingdom"
