reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
great start to our mini break,"Friendly staff, comfortable room, great selection of gin in the bar and a superb meal that exceeded our expectations for dinner. I wish I had asked a bit more about the breakfast option - I didnt appreciate that a venison slider was actually a burger - that being said, the staff were accommodating and attentive.",Date of stay: September 2020,Golf View Hotel & Spa,1,"Nairn, United Kingdom"
fun despite the weather,"dont make the mistake of driving through the unsigned car park and then finding yourself with an almost impossible task of reversing whilst avoiding the bushes!! However, the course was fun - and we dodged most of the rain - friendly staff running the club and an interesting couple of fences to add challenge to the course!",Date of experience: September 2020,Fort Augustus Golf Club,1,"Fort Augustus, United Kingdom"
disappointing menu,With such a fabulous venue I would have thought the restaurant would be more upmarket. A limited menu - and very average soup.,Date of visit: September 2020,The Boathouse Lochside Restaurant,1,"Fort Augustus, United Kingdom"
My favourite place to stay in Fort Augustus,"having stayed here with my sons several years ago, it was an easy choice to return. Despite the Covid restrictions, we felt well taken care of - the apartments was beautiful and well equipped. We enjoyed the tennis and would have investigated the other entertainment options were they available. The Boathouse was disappointing - such a luxury venue could surely have a fabulous Scottish restaurant?
I certainly plan to return - hopefully when Covid is not hovering over us!",Date of stay: September 2020,Highland Club Scotland,1,"Fort Augustus, United Kingdom"
OMG fish and chips to die for!1,having had a drink from their amazing gin selection and felt relaxed ( despite the Covid restrictions) we came back for dinner - certainly one of the best fish and chips experiences :) I even recommended to my sister that she HAD to come here when passing through 2 weeks later whilst canoeing up the caledonian canal - she concurred with my opinion!!,Date of visit: September 2020,The Lock Inn,1,"Fort Augustus, United Kingdom"
Daylight robbery!!,"what a disappointment! Having tried fruitlessly to contact the hotel about availability for both accommodation and food ( at least 2 unreturned phone calls), I was relieved to find I could book through trip advisor. With the restaurant being rated as the best in the area I was already excited. Having paid in full in advance, and still not having my call returned I was disappointed to be advised by email that there was no availability for dinner - I called again to discuss but again no response. I managed to secure a reservation to stay elsewhere in Fort Augustus and emailed my desire to cancel. Caroline returned my calls the following day and initially did not wish to refund my booking, offering to ""squeeze us in"" for dinner if I could be persuaded to stay. I explained that I had booked accommodation elsewhere but would welcome being able to come for dinner and still wished a refund. Caroline advised that we should have paid attention to the recommendation on their website that we check restaurant availability prior to booking and a refund was not possible due to the no cancellation policy. There is STILL no warning on the tripadvisor site about this and I note that the current listing ( which is cheaper than when we booked) does offer free cancellation. After some protracted discussion, Caroline advised that she would refund part of our payment but needed to ""hold on"" to £25 to cover her costs - costs for having a listing on trip advisor and her own ""admin costs"" for having to issue a refund. I felt powerless to object on the phone in case she refused any refund. I convinced myself that having effectively paid a £25 booking fee for the privilege of having dinner that she would indeed "" squeeze us in"" - but when we popped in on 12th September, she initially claimed to have no recollection of any of the previous communications..... slightly alarming to think that our predicament was not unique for her...
My partner and I remain somewhat disquieted that it still feels acceptable to Caroline that we pay £25 for making a booking that could not be honoured since the trip advisor site carries no forewarning of potential lack of restaurant availability( I did suggest that she may wish to amend her listing so that other potential customers would not be caught out in a similar way - clearly she knows better since the trip advisor site carries no details about the problems in accommodating guests in the restaurant !) - this does not reflect good customer service and certainly does not predispose me to make any sort of positive recommendation about the venue.",Date of stay: September 2020,"The Lovat, Loch Ness",1,"Fort Augustus, United Kingdom"
everyone needs to experience this amazing retreat - a real escape destination :),"what a great place to relax and unwind - I was not sure what to expect from an all-inclusive health retreat but this place exceeded my expectations on every level. The food was delicious and so very healthy - the activities were varied and fun - from the paddle-boarding to cycling and aerobics to the calming yoga ( something I intend to take up again), I felt entertained at every stage and yet there was time for me to kick back and do nothing when I wanted. I particularly enjoyed the guest speaker nutritionist who was not only knowledgable but could also share her pearls of wisdom in an easily understandable way. This weekend has made me realise how much more focus I need to spend on looking after myself and not letting my life be all about work!!",Date of stay: April 2019,The Beach Retreat,1,"Longeville-sur-mer, France"
fun way to spend my birthday :),"I was thrilled to get a last minute reservation here - the staff were knowledgeable and friendly - the boat was well equipped and I felt every attention was paid to us being comfortable. We were lucky enough to track down an orca whale - we followed it for a while - we also saw bald headed eagle mates, sea lions and seals. The weather was kind and there was a good vibe. The staff were eager to share their knowledge and it made for a fun day out. I was surprised to be charged for a bottle of water and that took a bit of the gloss off an otherwise good day.",Date of experience: May 2019,Half-Day Whale Watching Adventure from Vancouver,1,"Vancouver, Canada"
who would have thought it could be so easy?,booked online and jumped on a bus from Vancouver - Victoria - seamless journey with great drivers. I was impressed with the ferries too but what a cattle market to get food - you could be forgiven for thinking that nobody had eaten for days - the queues for all the restaurants were impressive and sadly the food looked dire!! Still - the views and cleanliness and efficiency of the whole experience more than compensated for all this!,Date of experience: May 2019,BC Ferries,1,"Tsawwassen, Canada"
delicious icecream treat,"never had a puff cone before and ""what an experience!"" - scrummy and indulgent - not for the calorie-phobic but such fun :)",Date of visit: May 2019,Popina Cantina,1,"Vancouver, Canada"
