reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Typical Greek Hotel. Excellent,"If you want Pizza and chips, loud music, entertainment and in the middle of everything , this is not the hotel for you. If you want peace and quiet, good Greek food and friendly hospitality this is the place to stay. 100 m from the beach 100 m from a few shops, bars and hotels. The bus stop to Rhodes Town is 5 min walk. The staff are hardworking and very friendly and nothing is too much trouble. Yes its on the flight path, but there tends to be a couple of planes then nothing for an hour or so. You do get used to it and they stop before midnight. Small snack bar selling drinks and food. Good value. Large swimming pool and small baby pool, there is a small collection of slides and toys for the children, Well tended gardens as with all Greek Hotels a few cats but they do go away.",Date of stay: June 2019,Sabina Hotel,4,"Rhodes, Greece"
Such a special fishing trip,"We went out on the afternoon trip, just two couples had booked the trip, early June so less travellers. We were made to feel so special, guidance and help for fishing. Swimming in the sea and a bit of boat sightseeing too. It was my husbands birthday and he was given a candle in his sweet and greetings sung to him. There is a toilet on board. The presentation of the food was outstanding. Good choice of drinks.",Date of experience: June 2019,Makarounas Fishing Trip Rhodes,4,"Rhodes, Greece"
Weekend away.,"Would rate this as good rather than average . Basic accommodation could do with a bit of TLC ,bed needs tightening up and the table and chairs were adequate for the weekend. Clean and tidy. New kitchen with lots of storage space. Nice views, simple walks around the site. Lots of birds, squirrels to watch.And the site is very peaceful. Would come back again. £15 deposit for electric, we used less than £3. Log sacks were £5.",Date of stay: March 2019,Sherwood Castle Holiday Forest,4,"Newark-on-Trent, United Kingdom"
clean nice hotel,"We stayed here for one night, the room was smaller than expected, but enough room for two people. Clean and tidy. The pool was smaller than expected and changing rooms had no cubicles, but not too far from the bedrooms. The lounge/bar area is like someone else said a bit like a gentleman's club but in keeping with the hotel. Yes some of it is dated but to be honest modern furniture would not be in keeping with the hotel. Check in was very quick, and 2 hours earlier than stated. All the staff were friendly and polite. Breakfast buffet style lots of choice and freshly cooked. We had lunch in the bar good standard and value for money. Would stay here again.",Date of stay: March 2019,Carlton Park Hotel,4,"Rotherham, United Kingdom"
Amazing food amazing value,"Can not believe we have not been in here before. Beautiful well cooked food. Good variety. Vegans catered for. Sensational home made soup, toasted sandwich, tortilla chips and dip for £6.",Date of visit: February 2019,Mojos Music Cafe,4,"Scarborough, United Kingdom"
Relaxing,"Clean hotel, large bedrooms. All staff pleasant, cheerful. So much choice at breakfast, well cooked and well presented food. Lots of delegates staying at the hotel but staffing levels were perfect so did not feel busy. Relaxing swim , steam and sauna.",Date of stay: January 2019,Jurys Inn Hinckley Island,4,"Hinckley, United Kingdom"
quick late lunch,"we arrived at 3pm for lunch, absolutely no bother for the staff. The food was well cooked, beautifully presented and tasted amazing, above our expectations. Both meals Scotch burger and Jacket potato with haggis were delicious and we didn't want them to end. Friendly staff .",Date of visit: September 2018,Olive Tree,4,"Newcastleton, United Kingdom"
Night away,"The room in the annex was larger than expected, yes the furniture is dated but in keeping with the room and the age of the hotel, it is clean and well kept. Very quiet hotel. The garden down to the river is wonderful and well tended, lovely place for a drink. Breakfast was well cooked and plenty of choice. The staff were very busy and some people had to wait for tables to be cleared but this was done quickly and cheerfully with apologies, but they were trying to serve lots of people at the same time, so i think they were trying to get hot food out and clearing the tables was done last. Will definitely be coming back.",Date of stay: September 2018,The George Hotel,4,"Piercebridge, United Kingdom"
What a disappointment.,"We stayed here for one night on a Sunday, quick check in, although we know now why they want payment in advance. Wonderful room with views across the well tended gardens and the city.I do feel the electrics in the room need looking into, bulbs above the lampshade hot to touch, and the bulb in the bathroom was hanging down. Until the Indian restaurant opened and played their music. The speakers are in their ceiling and this means if you have the ground floor room the music is very loud. We did complain and were moved to another room on the first floor where you could not hear it, although this room was not as comfortable. We ate in the Indian restaurant the food is amazing and the music is quieter in there than the bedroom. On returning to the hotel the main door was unlocked and no staff on site just a phone number to contact if there was a problem. We arrived for breakfast at 9:03 to be told by the waitress there was nothing left. We spoke with the manager who said the chef had left and they could cook us some eggs but not bacon. We asked for £20 back to go and get breakfast somewhere else. To be told no as we were late for breakfast ( ok we were by only 3 minutes). I think the waitress was right they had no food left. They could not give money back as they did not have any and did not operate this way.",Date of stay: September 2018,Farnley Tower Guesthouse with onsite Restaurant and Bar,4,"Durham, United Kingdom"
mid week break,"lovely small site. Did not feel too close to the other caravans. Well kept grounds friendly staff. 10 mins walk to the local beaches. Easy to get around Northumberland in the car. Small fairly well stocked shop with prices as expected as no other shop in the village. Check in took less than 4 minutes, pleasant staff. We did not use the pool or bar so can not comment on them.",Date of stay: September 2018,Cresswell Towers Holiday Park,4,"Cresswell, United Kingdom"
