reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
best day in Poros,"The day trip around Poros island was excellent, Tasos is a great host.
He showed us the nicest coasts of Poros and during the trip he cooked for us fresh fish.
He also provided soft drinks and wine.
I highly recommend this trip with Tasos.",Date of experience: June 2019,Fun holiday in the blue waters of the Saronic Gulf!,1,"Poros, Greece"
Everything you may need is available,"Jiovanis Mini Market has everythng one may need during holiday.
It is located at Phinikoiudes, the main promenade area of Larnaca, on main seaside avenue.
You can find a wide variety of supermarket items, including alcoholic drinks at fair prices.
A wide variety of souvenirs and beach items are also available and the shop is open all day and most of the night, seven days a week.
A cash machine ATM is also installed inside the shop and not outside, which ensures your safety at late night hours.
The staff is very nice and helpfull and always glad to help.
I highly recommend this shop.",Date of experience: November 2019,Jiovanis Mini Market,1,"Larnaca, Cyprus"
"If you visit Jordan, you must visit Petra","This is a place to visit at least once in a lifetime.
Avoid the hot summer period.
You can also take a horse ride, will take you further for one kilometer.
If you don't want to walk all the way down to main site, you can also take a horse carriage (for two persons). You can take a one way ride (20JDs) but better agree for two way ride when you take it (40JDs), otherwise the carriage drivers will ask you 30JDs to bring you back.

The whole scenery is amazing, but be careful of running horse carriages the carriage drivers are not careful enough. Also be careful of where you go, when you enter the main area, some of the places to climb are not very safe and there is no protection.",Date of experience: April 2019,Petra,1,"Petra - Wadi Musa, Jordan"
Luxurious enjoyable holiday,"The hotel is very nice, on the Jordanian side of the Dead Sea.
5 star facilities and staff offering service 5 star plus.
You can enjoy the dead sea experience and apply the mad on your body, you will enjoy this. Free rides by the hotel to take you to the hotel's beach.
Only disadvantage I noticed is the high price of alcoholic drinks.
I highly recommend the hotel.",Date of stay: April 2019,Dead Sea Marriott Resort & Spa,1,"Sweimah, Jordan"
"Excellent wine selection, service, environment and staff know-how","The place is nicely decorated and at central location.
Wide selection of wines, the staff is always willing to help and suggest.",Date of visit: February 2019,Vintage Wine Bar & Bistro,1,"Athens, Greece"
High quality traditional Greek fast food,"The food is very nice and the materials are good quality.
The restaurant offers traditional Greek food at very good quality and reasonable prices.
The location is very central (very near Syntagma square).
Staff is very vibrant and ready to assist.",Date of visit: February 2019,Neoklassiko,1,"Athens, Greece"
Very nice hotel in best Athens location,"The hotel is new, with many nice to have facilities, excellent staff and best location.
On Ermou street, half way between Syntagma Square and Monastiraki.
My stay was very enjoyable, the hotel is suited for holiday and also for business travel.
Breakfast has a large variety of choices.",Date of stay: February 2019,Elia Ermou Athens Hotel,1,"Athens, Greece"
Nice local food and sincere welcome,"The restaurant is nicely decorated, serving traditional Greek food.
Staff is nicely mannered and make you feel at home.",Date of visit: January 2019,Stathmos,1,"Zakynthos, Greece"
"good location, excellent staff","The hotel is walking distance from the beach and walking distance from city center.
Staff is very helpful and always trying to be of service if possible.
Nice but limited kitchen menu.
Very convenient for business visits, would stay again.",Date of stay: January 2019,Hotel Palatino,1,"Zakynthos, Greece"
excellent service and food,"Staff were excellent, helpful and knew their job very well.
I enjoyed the starters and the mature steak!

White house wine is worth trying.",Date of visit: January 2019,Basegrill Athens,1,"Athens, Greece"
Experience the Mongolian experience,"This is an authentic Mongolian experience. The food is served in traditional Mongolian tents. If you like lamb, you will really enjoy the food. There are many choices, but lamb is a must have at this restaurant.",Date of visit: October 2018,Ninety Nine Yurts,1,"Beijing, China"
Best duck!,"You have to order duck, the restaurant's specialty.
Very nice décor, knowledgeable staff, and you can reserve a dining room to make your dinner more private and special.",Date of visit: October 2018,Dadong Roast Duck (Nanxincang),1,"Beijing, China"
Excellent hotel with class in Shanghai,"Hotel rooms are very nice and staff is always with a smile, professional and helpful.
Nice large breakfast and restaurants at hotel.
Excellent location opposite new downtown Shanghai.
Next to shops and promenade.
Lobby area is impressive.",Date of stay: September 2018,Fairmont Peace Hotel,1,"Shanghai, China"
Great hot pot! Excellent dining experience!,"This is a place to visit with your friends and have a good and relaxing time.
You will really enjoy the food, if you don't mind cooking it yourself.
Staff is very helpful. Even if this is your first time at a hot pot restaurant they will guide you and provide information and help you enjoy your dinner.",Date of visit: September 2018,Yuan's Hot Pot Zuid,1,"Amsterdam, The Netherlands"
"Excellent food, service and environment","Food quality and taste are very nice, carefully prepared by the chef.
Service with initial welcoming make you feel at home.",Date of visit: September 2018,Trattoria da Roberto,1,"Veghel, The Netherlands"
Enormous portions,"Vale Vale offers a variety if pub-style food. Portions are large and the food is very good.
Staff is very polite and with a nice smile.",Date of visit: August 2018,Vale Vale,1,"Argyroupoli, Greece"
Very average,"A single is very small, the bed is also very small.
If you leave your luggage on floor next to bed, basically no corridor is left next to the room.
Room really needed maintenance. Light switch was ripped off the wall, and this is a Health and Safety issue. The fire alarm on room ceiling was also ripped off and was hanging by the wires. One of the two lights in toilet was not working, nobody fixed it during my stay. Shampoo and Soap are provided though a large wall mounted box which is not very clean as all guests touch the boxes to extract shampoo and soap.
Breakfast was very limited, only the coffee was ok.
Persons at reception were nice and friendly but this is not enough to change the hotel's amenities.
Hotel lobby is very small and hotel's door entrance is not representing of a three star hotel.
Room sound insulation is poor, you can hear the persons staying at the next rooms.
Room rates are very expensive for what is offered.",Date of stay: September 2018,Hotel Victorie,1,"Amsterdam, The Netherlands"
Nice view and shops,"Very nice area, small shops, many restaurants, excellent view of Paris from above.
The area is really worth visiting.",Date of experience: September 2018,Montmartre,1,"Paris, France"
"Very convenient, very good service","The hotel is beautifully decorated, and the reception/ cleaning staff is very helpful and actually enthusiastic. Breakfast is not enormous but it is nice and sufficient.
Hotel has about 33 rooms and lobby area is small, but it is really worth staying at this hotel. Many restaurants near the hotel and you have many nearby choices for lunch and dinner.",Date of stay: September 2018,Hotel Academie,1,"Paris, France"
Very good Service and food,"The place has very friendly and nice staff welcoming guests with a smile.
Menu is well selected and also food of the day is great.
Really worth visiting.",Date of visit: August 2018,Agora Restaurant-Bar,1,"Athens, Greece"
Perfect for an organized event,"Dionysos Zonar's is a perfect place to organize a company or family event.
Food is excellent, staff is professional and knowledgeable and location can not get better than this.
Offers plenty of parking and direct view of the Acropolis.

Seems to be pricey, but for important family or company events it is worth it.",Date of visit: July 2018,Dionysos Zonar's,1,"Athens, Greece"
Value for money and clean,"The hotel is clean, the staff are helpful and breakfast is reasonable.Price is good, but be aware that walking to Verona historic city center is not easy, especially in the summer.
Walking can take 20 - 30 minutes.
The hotel offers a free shuttle during the day time, to return to the hotel you need to get a taxi (around Euro 11) or pay to use the hotel's shuttle service.
You can always find a taxi to return to the hotel at night.
If you don't mind the taxi and shuttle travel to the city center, the hotel is worth visiting, but if you prefer to be within walking distance of the historic center, the hotel is too far.",Date of stay: August 2018,Hotel San Pietro,1,"Verona, Italy"
Excellent way to see Verona's Historic Centre,"Segway Verona Tour is an excellent way to visit the Verona Historic Centre.
Our guide was knowledgeable and helpful, going to many sites.

A brief training is offered at the beginning of each session, and it is easy to understand and use Segway - and fun!
I highly recommend doing this tour.",Date of experience: August 2018,Segway Verona Tour,1,"Verona, Italy"
Different than other theme parts,"Movieland is worth visiting, make sure you have a change of cloths because you will probably get very wet.
It is an enjoyable visit, with family and you can spend the entire day there.",Date of experience: August 2018,Movieland Park,1,"Lazise, Italy"
Very nice hotel and location,"The hotel is very nice, with good facilities and very helpful staff.
Enormous breakfast. Also worth swimming in the lake but better wear snickers to protect your feet from the rocks.

Everything was perfect until it rained in the afternoon and bad weather continued for a few hours.
The hotel guests stayed at the hotel and went to the hotel restaurant for dinner.
There was only one waiter in the restaurant, who was really trying his best to cope with the hungry guests of the entire hotel! The waiter was a real hero, trying to do the impossible.
Many guests left during the rain to go to other restaurants in the city.

It would be better if the hotel management checked the weather and if bad weather is expected to have more shift at the hotel to serve the guests.",Date of stay: July 2018,NH Lecco Pontevecchio,1,"Lecco, Italy"
Very impressive,"Doge's Palace is a must-see when you visit Venice.
It represents the history of Venice throughout many centuries.
I would highly recommend taking a guided tour to visit the palace.

There is so much information that you need a guide to tell all this.

You will enjoy the internal decorations which are very valuable and beautiful, also make sure you visit the prison adjacent to the palace.

If you just buy an entrance ticket you will have to wait in line for a long time and there is no tour guide to provide the information.",Date of experience: July 2018,Doge's Palace,1,"Venice, Italy"
Worth visiting if you have time to wait,"The menu was the standard Hard Rock Café menu.
Burgers and spare ribs are really nice!
Only issue is that the place is so busy you usually have to wait more than 30 minutes in order to get a table.
The food and the staff were great, especially George!",Date of visit: July 2018,Hard Rock Cafe,1,"Venice, Italy"
