reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Burritos! Burritos! Burritos!,"Well knock me down with a Mexican jumping bean, we finally have a premium burrito vendor in Hitchin! I knew this day would come...and this day tastes delicious!

I consider myself to be a bit of a burrito connoisseur and have visited the finest Mexican cantinas in the city...however, move aside London; there's a new kid on the rural block and it's kicking yo' ass!

Had to go for the supersized beef chipotle with Green Goblin sauce. Loved it. Want another. Will be back. It was so tender and generously stuffed with the freshest ingredients, oooh lovely!

Back soon to go for a hotter sauce as the Green Goblin only tickled me a bit. But it was a great introduction to Cantina Carnitas for sure.

Saddle up and bounce down to the best new eatery since sliced bread. It's where the old record shop used to be, on Buckles.

10/10",Date of visit: October 2019,Cantina Carnitas,4,"Hitchin, United Kingdom"
Best on the Leisure Park,"Popped into TGI Friday's after seeing a film in the Cineworld cinema complex and was highly impressed. I'd not been before and assumed it was just going to be yet another sub-par 'chain restaurant' but I couldn't have been more wrong - shame on me!

My nephew and I were welcomed by a very helpful and approachable front of house hospitality staff member who told us she would have a table ready in 5mins. Not only did she direct us to the bar but waited until we received our drinks before guiding us to our seats. She introduced us to our waiter and we were promptly served our meals after making a selection from a delicious menu choice.

The food was disguised (unwittingly) as 'cheap and cheerful' through the menu design and fun name descriptions but there was a genuine craftsmanship to the food and it tasted incredible! I was hugely impressed by everything this place had to offer, from the razor sharp service, to the pleasant chat of the barman, funky fresh interior design and amazing quality of the food.

I'll definitely recommend TGI Friday's to friends and family based on this visit. I'll certainly be returning soon myself, that's for sure. Fab!",Date of visit: December 2018,Tgi Fridays,4,"Stevenage, United Kingdom"
The ultimate crowd pleaser,"My wife and I (with baby in tow) popped in on a whim today; which we certainly didn't regret.

After finding the last small table nestled within the busy interior we were welcomed by a friendly waitress who gave us a quick intro to the restaurant. At the bar there was a wide selection of drinks and a jolly buzz of activity happening between bar and kitchen staff. I was seen swiftly and greeted by Jim (whom I assumed was the manager), started a tab and the rest was easy.

The sheer diversity of Granello Lounge was the thing which caught my eye above all. There's something for everyone. Whether it's a quick bite to eat at lunch, a venue for a business meeting over coffee, a family gathering or an alternative to the local pub - this place has it all.

If you're a fussy eater or someone with a food intolerance, then this is definitely one for you. The easy going bar staff are sensitive to dietary requirements and they will thoroughly check to make sure your meal is tailored to suit your needs. A highly commendable level of customer service.

To wrap this review up; if you're next decision to grab some delicious grub in Hitchin commands a venue that has great service, great staff, great food, great choice, great hospitality and overall greatness, Granello Lounge is a sure fire winner for you. Get yourselves over there NOW!

10/10.",Date of visit: November 2018,Granello Lounge,4,"Hitchin, United Kingdom"
Tongue tingling tour!,"Wow, I had an incredible experience at Edible Ornamentals on a tasting tour! I seriously urge and strongly recommend everyone to try it.

I visited with a friend (Mark P on TripAdvisor) and we had a great time, learned a few things and bought some exceptionally tasty chilli sauces.

The owner, Shawn, was passionate about what he does and he took great pride in what he's achieved. He was full of information and the homemade sauces he's created (along with his talented chef Chilli Olly) were a real triumph. You have to try his steak brisket chilli con carne - delicious!

The whole team here are doing something great so show your support and pay them a visit. They'll turn you from a chilli lover into a chilli enthusiast, just like they've done to me - in a single visit!

Simply fantastic and utterly impressive.",Date of experience: November 2017,Edible Ornamentals,4,"Chawston, United Kingdom"
Sunday Roast Supreme!,"I recently went on a mission to find the best gastropubs in the North Herts area. One of the places on my list to visit was The Bushel and Strike so my wife and I thought we'd put it to the test and visit on a Sunday.

After being greeted by the exceptionally friendly staff on arrival we were guided to our table and offered a drink straight away. Our waitress was assigned to us and helpfully gave us a run down of the menu to which we both ordered a Sunday roast beef dinner (as a classic benchmark test). It wasn't long before our food arrived and we were presented with a delicious-looking helping of the usual trimmings you'd expect. However, the taste was even better than the way it looked. The gravy had that wonderfully sticky texture to it and the vegetables were sinfully buttery! Amazing roast potatoes straddled the generous amount of thickly cut beef slices accompanied by a plethora of well-seasoned veg.

After marvelling in the succulent flavours of the main, the dessert list wasn't as varied as I'd have expected. As someone who doesn't eat nuts there wasn't much for me to choose from. Most of the desserts were nut-based so I could only really choose from the ice cream menu, avoiding the peanut butter flavour of course!

Aside from the limited dessert menu, the whole experience was definitely a good one. We had a great time, left extremely satisfied and then enjoyed a wonderful walk around the Ashwell Springs.

The Bushel and Strike have set the bar high and I'm intrigued to see if the next few places on my list are able to live up to these expectations.

A great visit!",Date of visit: September 2017,The Bushel and Strike,4,"Ashwell, United Kingdom"
Friendliest bar in London! Must visit!,"I work next door at Saatchi & Saatchi and the guys at The Pregnant Man have been looking after us since January 2017. During this time they've gone above and beyond to make us all feel like old friends every time we visit. I'm particularly impressed by the service, knowledge and complete approachability of every member of staff and they really do enjoy being part of an extended family.

You're never alone when you visit the team here and they always wear a genuine smile on their faces. The food is excellent and the pizza oven produces the best pizzas this side of Italy. The entire menu is littered with delicious grub to really get the endorphins buzzing and great pride is taken with each dish served. Likewise, the drinks on offer will leave you spoilt for choice and the whole selection is reasonably priced; especially when you balance quality against value.

The interior design is stylish, cosy and perfect for any occasion. Welcoming and warming in the winter, cool and chic in the summer, The Pregnant Man is a place you don't want to pass by without visiting.

My favourite local away from home. Hands down.",Date of visit: September 2017,The Pregnant Man,4,"London, United Kingdom"
The time of our lives!,"It’s almost as if Santorini was beckoning us over for our honeymoon. What a fantastic place! We had so much fun and thoroughly enjoyed exploring the island while we were there – what a truly fabulous way of life.

Jon met us at the airport in his jeep which couriered our luggage to the villa while we sat back in the taxi he’d arranged to pick us up. The villa was less than a 10min drive from the airport and we were utterly amazed at how nice the place was. Jon has obviously invested time and money into making it look so beautiful. It was built right into the cliff which made the interior so quirky, spacious and cool with the added bonus of having a superb sun deck complete with plunge pool and a jaw-dropping view of the sea. You can even see the airport and all the planes coming in to land which makes for fascinating viewing while you bob up and down at the poolside with a beer or glass of wine. Total bliss!

Aside from the warm, friendly greetings from Jon and his most excellent hosting skills, he also gave us a full tour of the best places to visit around the south side of Santorini. He’s colloquially and affectionately known as the ‘Mayor of Santorini’ because of his ability to make friends with the locals and help drum up some business for them. I must stress, he’s not trying to get you to book trips or reserve tables in restaurants but merely passing on his guidance so you can make the most of your stay. Every single place he recommended was genuinely amazing and we wouldn’t have done as well if we’d have tried to tailor our honeymoon ourselves, despite our adventurous nature. He’s a great guy (originally from Maine in the states) who knows how to have fun and is always on hand to help book restaurants, give advice etc.

Make sure you visit the close-by winery called Art Space. You get a wonderful tour of the building’s history and a chance to sample quite a few drinks for only €5! Also, try and explore the non-tourist parts of the island as there’s so much more to experience away from the regular sights and tourist traps. Having said that, the whole of Santorini is unapologetically stunning so wherever you find yourself, you’ll be surrounded by beauty.

Santorini is a must-see for any newlyweds. But remember, when booking, make the right choice and book Jon’s villa.",Date of stay: July 2017,Santorini Holiday Villa,4,"Santorini, Greece"
Simply Amazing.,"On the second or third day of our honeymoon we were lucky enough to have a pre-booked reservation at this fantastic restaurant by our host. Tables are in high demand so if you want to visit please make sure you book well in advance. It’s certainly worth the effort!

High above the rooftops in Exo Gonia this delightful restaurant has wonderful views of the sea below. If you time it right, you can sit outside on the terrace (just after the sun has disappeared) to enjoy the gentle breeze after a hot day. Situated at the foot of a majestic church; the scene has been set to make your dining experience a dramatic one.

As with most Santorinian restaurants you’ll have plenty of fine choice on the well-constructed menu. To compliment your food, they also have a sensational selection of wine as well as the traditional, local drinks that are usually given out as part of the friendly hospitality. With this in mind, the staff are very approachable and can help guide your choice in case you can’t decide between the equally delicious dishes.

I’d recommend visiting Metaxi Mas for all occasions, whether you’d like a romantic meal for two or a fun night out as a family or group of friends.

Wonderful.",Date of visit: July 2017,Metaxy Mas,4,"Santorini, Greece"
Pure Santorini at its best.,"After driving through the quiet and atmospheric streets of Megalochori, you suddenly find yourself in the heart of the town but with no time to put the brakes on. It’s such as small place that we actually had to drive back around to the town’s entrance a second time! But it’s definitely worth it as the town square is full of colourful flowers, traditional music, lively conversations and a wonderfully relaxed ambience.

It was just before lunchtime when my wife and I decided to dine at Marmita so it was fairly quiet. We were shown to a well-placed table recommended by the waiter and he promptly brought us our ice-cold drinks and some menus. In fact, the service throughout our meal was perfect and everyone was so friendly, even when the restaurant became more and more busy. The fact that more people kept turning up to eat was a good sign and it really helped create a nice atmosphere, including the arrival of a guitar duo which was great.

The food was incredible. It was so well presented and the chef clearly had talent. The seafood was fresh and delicious and incorporated a very modern twist – worthy of fine dining gastronomy. The menu was varied without having too much to choose from and every dish sounded amazing. My only criticism is that it was quite an expensive lunch and worked out to about 85-90 euros for the two of us – almost double the price of most other restaurants at that time of the day. However, we didn’t mind too much as the price matched the quality and presentation of the food.

An extremely enjoyable venue to take a slower pace away from the usual tourist spots. Delightful.",Date of visit: July 2017,Marmita,4,"Santorini, Greece"
One of the best things to do in Santorini!,"From a recommendation through our guide 'Jon Call', we accidentally found ourselves up a small road and followed the signposts to Art Space; a delightfully situated winery off the beaten track...

By pure accident, we parked up, went inside the winery and found ourselves on a tour of the place which opened up into the most amazing historic building that served as a working distillery AND an art gallery! Our guide was incredible. She certainly knew her stuff and, to add as a real treat, toured our way around the various structures with the final bonus of a small 5€ fee to try 4 wines and 4 spirits.

We loved one of the wines so much that we bought the 'reserve' white wine version and had such a good time!

Please visit this place with the attention, respect and amazement it deserves.

Top marks!",Date of experience: August 2017,Art Space,4,"Santorini, Greece"
