reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Bachelorette party fun with the driver TOM!!!,We had so much fun with Tom. He danced and sang and we had such a great time! He was part of our party and we loved it! Best two hours of my weekend! Thank you!!,Date of experience: August 2019,Detroit Rolling Pub,4,"Detroit, Michigan"
Awesome place to spend our wedding night!,"This hotel is excellent, The rooms were spacious and had a beautiful view. We checked in after our wedding late at night and they upgraded our room to a corner suite with a jucuzzi tub and it was amazing! we even had pizza delivered to the room in the middle of the night. 100% would recommend and I will stay here again at some point. Beautiful hotel!",Date of stay: June 2019,"Amway Grand Plaza, Curio Collection by Hilton",4,"Grand Rapids, Michigan"
So much fun!,Excellent excellent wines! 10 Euro for a tour and tasting was awesome. the exhibits are down a cave and it was a great experience and educational. I love wine so I was a fan. The tasting was great and had a good variety. the desert wines were to die for.,Date of experience: June 2019,Bronze Package,4,"Santorini, Greece"
My favorite part of our Santorini trip!,We did the sunset cruise and dinner and semi private tour. It was absolutely wonderful. So much fun! The captain was friendly and knowledgeable and her passion shows on this trip. We made friends with the four other people on the boat with us. The fish was amazing and cooked so well. It was so much fun seeing them pull the fish and shrimp and OCTOPUS!!! from the nets and traps. We even got to fish with poles and swim and snorkel in the cove. I would recommend this to everyone. I am so happy we booked this!!,,Santorini Traditional Fishing Experience with transportation,4,"Santorini, Greece"
Poor service and drinks,"This place is an awesome location and the pool is clean and nice views, but the terrible service and poor drinks do not make it worth it. The one waiter for the entire time we were there barely served us. We had to go up to ask for a menu and go up to ask to be served. My Long Island iced tea was watered down coke with a splash of rum. My husbands tequila and fruit smoothie had no alcohol in it. The waiter over was rude and ignored us. Not worth the money. Come to lay by the pool and get a soft drink for an hour if you need rest but don’t expect service or waste money on cocktails or food. Menu looks great but they don’t actually make anything on it.",Date of experience: June 2019,Lioyerma Lounge Cafe Pool Bar,4,"Santorini, Greece"
What an awesome experience!,My husband and I went on this small group yacht cruise. Swimming at Rhenia and the tour of Delos was so much fun. We got along well with the other patrons on the yacht and had a great time. Lunch and wine was served and we enjoyed it very much. A long trip and worth every penny. Delos was a treasure and the most wonderful place for history buff to visit. I would recommend this experience and company to everyone.,,Mykonos: Semi-Private Sailing Yacht Cruise to Rhenia and Guided Tour of Delos,4,"Mykonos, Greece"
Such a fun bar!,"Went with my husband on our honeymoon and got there early to watch the place fill up with people. Cool vibe and decor, strong drinks that were handcrafted and delicious. Our waiter and one of the managers we chatted with were the nicest people, so helpful and hospitable. I would recommend everyone in Greece go here for some fun conversations, cool drinks, and a fun experience.",Date of experience: June 2019,Lola Bar-Cafe,4,"Mykonos, Greece"
Breathtaking.,A must do for any couple or group of close friends! There is a 50€ per person minimum spend but the drinks are like 20 each so it’s not hard to meet that. Arrive about an hour before sunset and make a reservation online ahead of time. So 1000% worth it!!,Date of experience: June 2019,180 Degrees Sunset Bar,4,"Mykonos, Greece"
Delicious!!,Get the meat platter!! Amazing and authentic. Perfect location by The acropolis and less foot traffic than the other Main Street locations. So happy we are here!,Date of visit: June 2019,Dioskouri Cafe-Tavern,4,"Athens, Greece"
SO SLOW not worth it.,Service was incredibly slow even though the dining room was not even busy. It seemed like there was only one or two servers for the entire floor. We waiting over 20 mins for a draft beer and over an hour for 2 appetizers which didn’t even come out at the same time and we had to ask about them both twice. I don’t know what was going on with her servers or manager who didn’t seem to care. The atmosphere could be cool and fun and the food would be decent but the unreasonable terrible service ruined it. Won’t be back. Not worth it.,Date of visit: May 2018,Punch Bowl Social Detroit,4,"Detroit, Michigan"
Best Chinese buffet in town,Love coming here with friends. The price is good for the buffet. So many options and the quality is good considering it’s a buffet. Go early so it’s fresh. Will come back!,Date of visit: December 2017,Ming Ten,4,"Grand Rapids, Michigan"
